timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,0.75,0.765838,0.68558,0.765838,10752,0.7026,34
1735880400000,0.77,0.7844,0.7538,0.7826,6666,0.7766,31
1736139600000,0.81,0.9878,0.7827,0.9401,24545,0.874,98
1736226000000,1.02,1.02,0.8605,0.87,8982,0.926,80
1736312400000,0.9152,1.1579,0.8952,1.03,10965,0.9458,81
1736485200000,1.04,1.04,0.9555,0.956,4202,0.977,95
1736830800000,1,1.16,1,1.105,6647,1.1267,68
1736917200000,1.06,1.11,1.06,1.08,10047,1.0684,88
1737003600000,1.0091,1.0424,1.0091,1.0174,2137,1.0252,29
1737090000000,1.102,1.11,1.06,1.08,5650,1.0951,36
1737435600000,1.08,1.16,1.08,1.15,23125,1.1347,72
1737522000000,1.05,1.11,1.05,1.091,7464,1.0926,47
1737608400000,1.07,1.12,1.055,1.09,17182,1.0806,117
1737694800000,1.0572,1.09,1.05,1.09,2270,1.0606,32
1737954000000,1.01,1.14,1.01,1.14,5906,1.0385,23
1738040400000,1.08,1.0903,1.08,1.0852,2824,1.0893,21
1738213200000,1.1497,1.1499,1.09,1.13,3956,1.1101,18
1738299600000,1.13,1.13,1.02,1.0502,2245,1.0707,34
1738558800000,1.14,1.14,1.05,1.05,2751,1.1203,125
1738645200000,1.0499,1.1448,1.0499,1.095,8095,1.0833,31
1738731600000,1.075,1.08,1.02,1.08,3846,1.0596,28
1738818000000,1.04,1.04,1.02,1.02,1000,1.0423,32
1738904400000,1.02,1.02,1.02,1.02,1651,1.0279,118
1739163600000,1.0209,1.0209,1.0209,1.0209,923,1.0451,120
1739250000000,1.02,1.74,0.66,1.06,1125175.0,1.5107,6703
1739336400000,1.12,1.24,0.9601,1.0801,206464,1.1058,1299
1739422800000,1,1.06,0.9601,1.0004,55526,0.9995,257
1739509200000,1.02,1.02,0.92,0.98,10710,0.9487,101
1739854800000,1,1.07,0.8004,0.91,16004,0.946,143
1739941200000,0.95,1.06,0.91,0.91,5597,0.9604,62
