timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,5.96,6,5.96,6,926937,5.9818,2111
1735880400000,5.97,5.99,5.935,5.97,1263556.0,5.9703,2729
1736139600000,5.95,5.965,5.91,5.92,1374367.0,5.9412,2983
1736226000000,5.91,5.95,5.9,5.9,924037,5.9201,1974
1736312400000,5.9,5.95,5.9,5.95,381585,5.9304,1059
1736485200000,5.95,5.95,5.91,5.93,742924,5.9308,2305
1736744400000,5.97,6.01,5.952,5.97,1509359.0,5.9878,4234
1736830800000,6,6.05,5.98,6,775823,6.0307,2323
1736917200000,6.04,6.09,6.0343,6.07,1400186.0,6.0735,3433
1737003600000,6.09,6.15,6.07,6.1,1002976.0,6.1169,4251
1737090000000,6.15,6.17,6.07,6.09,4054599.0,6.103,4790
1737435600000,6.09,6.09,6.04,6.04,965029,6.0634,2888
1737522000000,6.04,6.11,6.04,6.1,769215,6.0867,2387
1737608400000,6.1,6.15,6.0916,6.1,646399,6.1225,2216
1737694800000,6.02,6.06,6,6.01,744337,6.0213,2052
1737954000000,6,6.03,5.97,5.98,583420,5.9897,1476
1738040400000,6,6.01,5.97,6,541398,5.9893,1558
1738126800000,5.98,6.015,5.98,6,516705,5.9987,1204
1738213200000,6.02,6.04,6.005,6.04,625954,6.021,2439
1738299600000,6.06,6.11,6.042,6.1,669653,6.0841,1658
1738558800000,6.03,6.09,6,6.08,755850,6.0501,1845
1738645200000,6.08,6.1,6.065,6.07,796902,6.0881,2093
1738731600000,6.1,6.105,6.08,6.1,572733,6.0899,1512
1738818000000,6.1,6.12,6.09,6.12,366098,6.1112,1009
1738904400000,6.13,6.13,6.09,6.1,281279,6.1033,1021
1739163600000,6.12,6.12,6.09,6.12,410644,6.1113,1176
1739250000000,6.12,6.14,6.1101,6.14,328209,6.1274,928
1739336400000,6.13,6.15,6.11,6.13,419471,6.1317,1015
1739422800000,6.15,6.1798,6.14,6.17,294542,6.1554,868
1739509200000,6.18,6.2,6.165,6.19,537526,6.1825,1346
1739854800000,6.2,6.23,6.19,6.2,1140954.0,6.2137,2370
1739941200000,6.22,6.28,6.2,6.23,1375192.0,6.236,2887
1740027600000,6.23,6.24,6.21,6.23,649645,6.2242,1862
1740114000000,6.15,6.18,6.13,6.14,524039,6.1551,1288
1740373200000,6.12,6.1299,6.085,6.09,493528,6.1056,1222
