timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,0.0086,0.01,0.0079,0.0099,432708,0.0088,353
1735880400000,0.0099,0.013,0.0097,0.011,543116,0.0115,185
1736139600000,0.013,0.016,0.0111,0.0114,535404,0.0131,301
1736226000000,0.011599,0.0179,0.0115,0.014285,213438,0.0148,127
1736312400000,0.0155,0.0155,0.0122,0.0133,114841,0.0137,118
1736485200000,0.013,0.0134,0.011,0.0131,92809,0.0127,87
1736744400000,0.013,0.0197,0.011,0.0197,319398,0.0146,292
1736830800000,0.018,0.0245,0.0121,0.0233,557712,0.0196,256
1736917200000,0.023,0.0245,0.013,0.0229,292483,0.0208,225
1737003600000,0.02,0.02,0.0176,0.0192,71592,0.02,74
1737090000000,0.019,0.02,0.015,0.0196,301154,0.016,151
1737435600000,0.0196,0.0196,0.0118,0.01749,380882,0.014,149
1737522000000,0.017,0.017,0.012,0.013449,91615,0.0129,65
1737608400000,0.0154,0.016,0.0134,0.015899,45709,0.0147,51
1737694800000,0.015799,0.0159,0.0141,0.0158,49492,0.0154,45
1737954000000,0.0155,0.0156,0.013,0.0152,24298,0.0138,33
1738040400000,0.0123,0.014,0.0105,0.0135,111452,0.0111,52
1738126800000,0.0144,0.0144,0.0102,0.0135,15003,0.0117,27
1738213200000,0.0135,0.0135,0.0114,0.0133,7389,0.0123,21
1738299600000,0.0135,0.0157,0.0118,0.0137,124740,0.0143,72
1738558800000,0.0135,0.0145,0.0135,0.0143,11388,0.0142,26
1738645200000,0.0126,0.014,0.0126,0.014,7111,0.0136,11
1738731600000,0.0127,0.015,0.0127,0.014,152505,0.0136,53
1738818000000,0.0127,0.0146,0.0112,0.0145,85735,0.0137,28
1738904400000,0.015,0.0151,0.0145,0.015,10833,0.015,19
1739163600000,0.0116,0.013,0.0095,0.0129,670355,0.0103,204
1739250000000,0.0129,0.0133,0.0106,0.013,142731,0.0126,78
1739336400000,0.0115,0.0129,0.0115,0.0128,5912,0.0127,27
1739422800000,0.0127,0.0148,0.0124,0.0148,101602,0.0136,76
1739509200000,0.0124,0.0146,0.0124,0.0143,86811,0.0128,48
1739854800000,0.0142,0.0142,0.0102,0.0119,96960,0.0119,62
1739941200000,0.01,0.015,0.01,0.014,95168,0.0126,83
1740027600000,0.0128,0.014,0.012,0.014,56524,0.0132,45
1740114000000,0.012,0.014,0.0112,0.0139,24557,0.0117,32
1740373200000,0.0139,0.0139,0.0123,0.0139,27488,0.0125,18
1740459600000,0.013,0.013,0.0122,0.013,10880,0.0128,32
1740546000000,0.012,0.013,0.0103,0.013,30460,0.0118,45
1740632400000,0.013,0.013,0.0089,0.0118,94447,0.0107,112
1740718800000,0.0111,0.0123,0.01,0.0121,81954,0.011,65
1740978000000,0.012,0.0129,0.0104,0.0118,39452,0.011,38
1741064400000,0.011,0.015,0.0095,0.0138,149322,0.0119,93
1741150800000,0.0102,0.0138,0.0102,0.0134,9342,0.0121,33
1741237200000,0.0134,0.0134,0.0103,0.0133,10781,0.0119,30
1741323600000,0.0103,0.0129,0.01,0.0129,34208,0.0114,67
1741579200000,0.009,0.0128,0.009,0.0124,73553,0.0096,53
1741665600000,0.012,0.0122,0.0101,0.0119,11855,0.012,21
1741752000000,0.0119,0.0139,0.0118,0.0139,7888,0.0122,24
1741838400000,0.0134,0.0134,0.0134,0.0134,10010,0.0134,4
1741924800000,0.0128,0.013,0.011,0.011068,33874,0.0117,84
1742184000000,0.0111,0.0121,0.0111,0.0121,2457,0.0119,17
1742270400000,0.012,0.013,0.01,0.013,32201,0.0114,44
1742356800000,0.013,0.0139,0.013,0.0135,10754,0.0134,28
1742443200000,0.0134,0.0134,0.0134,0.0134,2001,0.0132,23
1742529600000,0.0108,0.014,0.0108,0.014,2846,0.0134,14
1742788800000,0.0115,0.0139,0.0112,0.0129,12059,0.0116,18
1742875200000,0.0121,0.0121,0.012,0.012,6233,0.0121,8
1742961600000,0.0116,0.0138,0.0103,0.0138,39795,0.0119,48
1743048000000,0.0136,0.0137,0.009,0.0119,179250,0.0104,176
1743134400000,0.0118,0.0118,0.0105,0.011149,13859,0.011,19
1743393600000,0.01,0.0116,0.0089,0.009101,21466,0.0101,54
1743480000000,0.0102,0.0112,0.0101,0.0111,5211,0.0105,17
1743566400000,0.0124,0.0124,0.0103,0.0123,19841,0.0116,33
1743652800000,0.010799,0.011,0.009,0.0105,37716,0.0106,54
1743739200000,0.0103,0.0103,0.008,0.0088,49885,0.0092,96
1743998400000,0.0096,0.0098,0.0081,0.0098,27332,0.0092,52
1744084800000,0.0104,0.012,0.0097,0.0119,26060,0.0106,35
1744171200000,0.0098,0.0119,0.0081,0.01,105018,0.0107,125
1744257600000,0.0101,0.0101,0.0097,0.01,115314,0.01,20
1744344000000,0.01,0.0102,0.0095,0.01,42397,0.0097,37
1744603200000,0.01055,0.0106,0.0094,0.009599,53296,0.0096,67
1744689600000,0.0083,0.0086,0.0083,0.0086,98889,0.0084,52
1744776000000,0.0082,0.0084,0.0077,0.0083,89368,0.0083,78
1744862400000,0.0078,0.0082,0.0062,0.0077,81781,0.0077,48
1745208000000,0.0077,0.0093,0.0077,0.0093,17450,0.0083,34
1745294400000,0.0091,0.0091,0.0076,0.009,38614,0.0082,41
1745380800000,0.0033,0.009,0.0033,0.007,222513,0.0079,162
1745467200000,0.0069,0.0072,0.0069,0.0072,103669,0.0069,21
1745553600000,0.0071,0.008,0.00625,0.0067,71210,0.0072,38
1745812800000,0.0077,0.0077,0.005,0.0066,107704,0.0058,111
1745899200000,0.0064,0.0065,0.0061,0.0064,29550,0.0064,34
1745985600000,0.0064,0.009,0.0063,0.0086,50049,0.0081,74
1746072000000,0.0078,0.009,0.006,0.0061,104973,0.0071,81
1746158400000,0.0091,0.0095,0.008,0.0095,122236,0.0089,104
1746417600000,0.0095,0.0099,0.0075,0.0097,21714,0.0096,32
1746504000000,0.0095,0.012,0.0093,0.0118,149981,0.0101,101
1746590400000,0.0123,0.0123,0.0085,0.01,557859,0.0102,215
1746676800000,0.0101,0.0101,0.0073,0.0092,81266,0.0096,94
1746763200000,0.01,0.01,0.0088,0.0089,27098,0.0097,36
1747022400000,0.0098,0.0115,0.0089,0.0089,44359,0.0093,61
1747108800000,0.008799,0.0089,0.0081,0.0083,25788,0.0084,51
1747195200000,0.0082,0.0084,0.0073,0.0073,254289,0.0076,63
1747281600000,0.0075,0.0098,0.0056,0.007399,157288,0.0068,92
1747368000000,0.0086,0.0086,0.0071,0.0083,13956,0.0076,10
1747627200000,0.0076,0.0085,0.007,0.0084,164940,0.0081,38
1747713600000,0.0067,0.008,0.0065,0.0079,122349,0.0069,70
1747800000000,0.0077,0.0077,0.0061,0.0065,47284,0.0068,57
1747886400000,0.0067,0.0067,0.0065,0.0066,69987,0.0066,36
1747972800000,0.0066,0.0066,0.0065,0.0066,39229,0.0066,32
1748318400000,0.0066,0.0073,0.0061,0.0073,95980,0.0067,64
1748404800000,0.0073,0.0073,0.006899,0.0073,10446,0.0072,11
1748491200000,0.0073,0.0073,0.0067,0.006801,78201,0.0069,29
1748577600000,0.0073,0.0074,0.0073,0.0073,13484,0.0071,11
1748836800000,0.007051,0.0074,0.007,0.0074,47038,0.0072,34
1748923200000,0.0075,0.0075,0.0056,0.0072,155793,0.0065,62
1749009600000,0.0066,0.0072,0.0062,0.007199,210318,0.0069,39
1749096000000,0.0061,0.0071,0.0061,0.0069,75767,0.0068,35
1749182400000,0.0068,0.0073,0.0062,0.0073,141065,0.0066,60
1749441600000,0.0068,0.007,0.0061,0.007,35905,0.0067,40
1749528000000,0.006701,0.0069,0.0063,0.0069,40084,0.0065,40
1749614400000,0.0065,0.0068,0.0063,0.0066,28218,0.0066,37
1749700800000,0.0065,0.0065,0.0064,0.0065,17002,0.0065,16
1749787200000,0.0065,0.0065,0.0062,0.0065,41260,0.0064,32
1750046400000,0.006301,0.0064,0.0062,0.0064,32796,0.0063,32
1750132800000,0.0065,0.0065,0.0063,0.0065,15510,0.0065,26
1750219200000,0.0063,0.006301,0.006,0.0063,83214,0.0062,50
1750392000000,0.0063,0.0063,0.0057,0.0063,55569,0.0061,33
1750651200000,0.0068,0.0068,0.0055,0.0063,55369,0.0061,48
1750737600000,0.0036,0.0065,0.0036,0.0063,438999,0.0058,73
1750824000000,0.006,0.006,0.006,0.006,60507,0.0061,14
1750910400000,0.0059,0.0059,0.0058,0.0059,62868,0.0059,30
1750996800000,0.0057,0.006,0.0057,0.0059,137942,0.0059,32
1751256000000,0.0063,0.0063,0.0056,0.0056,37956,0.0062,21
1751342400000,0.0055,0.007,0.0055,0.006,77825,0.0062,46
1751428800000,0.006,0.0063,0.0057,0.0062,143328,0.006,56
1751515200000,0.006,0.0065,0.0056,0.0061,322290,0.0062,67
1751860800000,0.0062,0.0062,0.0057,0.006,9506,0.0061,24
1751947200000,0.0058,0.006,0.0047,0.0059,83136,0.0057,82
1752033600000,0.0057,0.006,0.005599,0.0059,63886,0.0059,48
1752120000000,0.0058,0.0058,0.0056,0.0056,136555,0.0057,110
