timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,7.6,7.78,7.5409,7.5409,6024,7.7072,481
1735880400000,8.02,8.5,8.01,8.37,8041,8.1818,468
1736139600000,8.93,8.93,7.98,7.98,7597,8.5953,538
1736226000000,8.535,8.6999,8.2,8.2,22021,8.387,1740
1736312400000,8.22,8.7,7.3801,8.09,112880,8.3119,5667
1736485200000,8.36,8.5,7.52,7.52,18831,8.151,1127
1736744400000,7.99,8.356,7.28,7.65,68443,7.835,4676
1736830800000,7.96,8.36,7.39,7.39,74817,7.9459,4933
1736917200000,7.88,7.88,7.5985,7.75,16648,7.8354,1752
1737003600000,7.88,7.95,7.71,7.95,45462,7.8743,4117
1737090000000,8.1115,8.1115,7.92,7.97,5054,7.9892,392
1737435600000,8,8.4,7.35,7.69,74745,7.9421,4230
1737522000000,7.74,7.82,7.351,7.7,8314,7.7148,314
1737608400000,7.82,7.82,7.76,7.76,3000,7.8791,267
1737694800000,8.35,8.7448,7.2199,8.47,44726,8.0188,2122
1737954000000,8.51,8.53,8.1,8.53,26877,8.2923,1700
1738040400000,8.3,8.31,7.61,7.61,5611,8.1654,319
1738126800000,7.93,7.9509,7.38,7.56,4021,7.6539,90
1738213200000,7.92,7.98,6.8142,7.31,74484,7.3771,811
1738299600000,7.79,7.81,7.57,7.7,6955,7.7556,157
1738558800000,7.31,7.49,7.2,7.31,5593,7.3354,115
1738645200000,8.04,8.04,8.04,8.04,981,7.6591,54
1738731600000,7.49,7.76,7.49,7.74,3554,7.6021,119
1738904400000,7.755,7.86,7.49,7.74,4050,7.6519,47
1739163600000,7.7401,7.9,7.25,7.35,8281,7.6838,2023
1739250000000,7.41,7.62,6.7313,6.7313,11129,7.3884,1665
1739336400000,7.16,7.16,7.06,7.06,7090,7.1374,657
1739509200000,7.49,7.49,7.3555,7.3555,2810,7.4231,168
1739854800000,7.3,7.886381,7.3,7.31,3668,7.4571,578
1739941200000,7.23,7.72,6.67,7.72,2425,7.2205,170
1740027600000,7.27,7.8,7.22,7.8,8472,7.4339,207
1740114000000,7.69,7.7828,7.3,7.52,7012,7.4994,194
1740373200000,8.65,9.84,7.88,9,46072,8.9159,939
1740459600000,9.26,9.5,7.25,8.05,16121,8.3035,380
1740546000000,8.7445,8.9999,8.18,8.45,9326,8.6133,171
1740632400000,8.45,8.5,8.225,8.5,1091,8.4135,32
1740718800000,8.5,8.5,8.45,8.5,1580,8.4706,136
1740978000000,8.59,8.92,8.01,8.25,12831,8.4529,417
1741064400000,7.1001,7.87,7.1001,7.605,7618,7.5546,160
1741150800000,7.4,7.95,7.25,7.7,2620,7.6776,242
1741237200000,8,8,7.8,8,7935,7.9883,314
1741323600000,7.82,8.7,7.51,7.7,6017,7.9772,228
