timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,1.6,1.73,1.58,1.69,684692,1.6885,2836
1735880400000,1.69,1.75,1.64,1.75,438783,1.696,2734
1736139600000,1.77,1.89,1.7625,1.83,800866,1.838,3776
1736226000000,1.92,1.93,1.725,1.74,593924,1.7803,3701
1736312400000,1.75,1.75,1.64,1.67,723708,1.6819,3407
1736485200000,1.63,1.71,1.595,1.67,798783,1.678,3526
1736744400000,1.68,1.685,1.5713,1.63,691618,1.6425,3902
1736830800000,1.64,1.675,1.58,1.61,543654,1.6197,4150
1736917200000,1.62,1.68,1.6,1.65,983341,1.6504,4714
1737003600000,1.66,1.8387,1.6402,1.81,1493416.0,1.7702,6020
1737090000000,1.79,1.85,1.75,1.85,1224616.0,1.7991,4072
1737435600000,1.87,1.87,1.75,1.81,1036793.0,1.7897,4683
1737522000000,1.78,1.825,1.74,1.74,484499,1.786,2922
1737608400000,1.72,1.73,1.67,1.68,312919,1.6884,2676
1737694800000,1.69,1.7,1.63,1.67,409860,1.6634,3639
1737954000000,1.64,1.77,1.61,1.71,1017726.0,1.7089,4533
1738040400000,1.71,1.76,1.62,1.64,348653,1.6909,2272
1738126800000,1.64,1.68,1.605,1.64,407264,1.6339,3028
1738213200000,1.63,1.69,1.61,1.64,275621,1.6505,2912
1738299600000,1.66,1.66,1.61,1.63,232970,1.6311,2559
1738558800000,1.62,1.62,1.56,1.57,254636,1.5788,1663
1738645200000,1.57,1.64,1.57,1.575,277378,1.6018,2068
1738731600000,1.57,1.61,1.57,1.58,230241,1.5835,1341
1738818000000,1.58,1.59,1.555,1.57,206688,1.5705,1350
1738904400000,1.59,1.59,1.49,1.49,619578,1.5271,2602
1739163600000,1.52,1.56,1.47,1.5,636208,1.5138,2908
1739250000000,1.5,1.515,1.44,1.44,576309,1.4825,2478
1739336400000,1.43,1.52,1.41,1.51,450133,1.4722,2343
1739422800000,1.52,1.585,1.46,1.51,959297,1.5168,3678
1739509200000,1.53,1.5899,1.48,1.58,791028,1.5306,2773
1739854800000,1.58,1.615,1.54,1.6,981733,1.5811,3013
1739941200000,1.58,1.73,1.58,1.65,1961996.0,1.6803,5372
1740027600000,1.65,1.81,1.6,1.78,1021994.0,1.6943,2348
1740114000000,1.79,1.79,1.67,1.7,651178,1.7169,2222
1740373200000,1.71,1.89,1.645,1.87,1412875.0,1.7956,4540
1740459600000,1.87,1.87,1.73,1.75,432125,1.7763,2233
1740546000000,1.73,1.7536,1.7,1.72,358109,1.7203,3160
1740632400000,1.71,1.71,1.61,1.62,312701,1.6501,1755
1740718800000,1.61,1.64,1.57,1.61,405460,1.6018,2128
1740978000000,1.63,1.66,1.5,1.5,272652,1.5415,1668
1741064400000,1.48,1.49,1.43,1.44,537174,1.464,3374
1741150800000,1.45,1.5,1.41,1.47,722191,1.4479,3576
1741237200000,1.4,1.62,1.285,1.57,1105865.0,1.4951,4059
1741323600000,1.54,1.59,1.45,1.5,847769,1.5,3780
1741579200000,1.48,1.5,1.39,1.41,575734,1.4409,3435
1741665600000,1.44,1.45,1.35,1.4,508413,1.3905,2974
1741752000000,1.4,1.415,1.35,1.39,312704,1.3747,2644
1741838400000,1.39,1.4,1.29,1.32,458221,1.3259,2757
1741924800000,1.32,1.35,1.28,1.32,481400,1.3169,2932
1742184000000,1.3,1.37,1.2905,1.37,391116,1.3361,2526
1742270400000,1.38,1.38,1.27,1.3,503305,1.3046,2474
1742356800000,1.29,1.31,1.25,1.26,680560,1.2748,2846
1742443200000,1.28,1.3,1.218,1.22,752977,1.2462,3640
1742529600000,1.22,1.37,1.2,1.36,3551839.0,1.3326,6067
1742788800000,1.39,1.4,1.285,1.31,724893,1.3319,2696
1742875200000,1.3,1.3,1.24,1.25,452635,1.2562,2358
1742961600000,1.25,1.25,1.2,1.22,415588,1.2247,1793
1743048000000,1.22,1.24,1.19,1.23,390716,1.2156,1690
1743134400000,1.24,1.24,1.15,1.17,586938,1.1815,2147
1743393600000,1.16,1.175,1.12,1.14,443210,1.1455,1481
1743480000000,1.16,1.165,1.12,1.12,402987,1.1328,2684
1743566400000,1.13,1.14,1.11,1.12,639152,1.1192,1765
1743652800000,1.1,1.1,1.01,1.03,791032,1.0394,2228
1743739200000,0.9917,0.998799,0.9,0.9034,1081202.0,0.925,2976
1743998400000,0.882,0.9101,0.83,0.87,526551,0.879,2034
1744084800000,0.91,0.9122,0.8337,0.8517,492544,0.8716,1640
1744171200000,0.84,0.899801,0.76,0.84,1453155.0,0.8478,2249
1744257600000,0.83,0.88,0.83,0.856,449886,0.8539,1281
1744344000000,0.86,0.86,0.828,0.8466,363028,0.8484,1268
1744603200000,0.86,0.8965,0.84,0.888,387179,0.8725,1385
1744689600000,0.871,0.8938,0.825,0.8302,673324,0.8518,2119
1744776000000,0.82,0.8411,0.783801,0.81,360510,0.8091,1352
1744862400000,0.8,0.8217,0.8,0.8,485556,0.8152,1398
1745208000000,0.8,0.81,0.7758,0.7811,223770,0.7881,942
1745294400000,0.78,0.8199,0.7711,0.7999,133997,0.7935,731
1745380800000,0.81,0.8372,0.8,0.8356,248059,0.816,900
1745467200000,0.84,0.8946,0.8202,0.89,351022,0.8751,1177
1745553600000,0.8899,0.9153,0.8603,0.9015,126440,0.896,668
1745812800000,0.9111,0.93,0.8721,0.8884,121527,0.896,653
1745899200000,0.9,0.925,0.871,0.9114,208994,0.8993,723
1745985600000,0.91,0.9172,0.8658,0.9018,162242,0.894,955
1746072000000,0.92,0.9392,0.8791,0.9003,354969,0.904,1505
1746158400000,0.9,1.03,0.9,0.9771,547436,0.9954,2001
