timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,3.2,4.8,1.95,2.2,13724218.0,3.3359,54602
1735880400000,2.19,2.39,2,2.14,1970787.0,2.2833,9583
1736139600000,1.95,2,1.6,1.61,1138894.0,1.7682,5136
1736226000000,1.69,1.7596,1.4608,1.6,563107,1.6201,2318
1736312400000,1.5,1.55,1.3716,1.43,326711,1.4571,1722
1736485200000,1.33,1.41,1.21,1.39,348114,1.3168,1468
1736744400000,1.42,1.4652,1.27,1.33,191976,1.3596,1082
1736830800000,1.31,1.39,1.19,1.23,179540,1.2539,865
1736917200000,1.26,1.2994,1.16,1.23,119053,1.2026,766
1737003600000,1.215,1.3,1.12,1.19,159594,1.2138,885
1737090000000,1.18,1.22,1.1,1.15,112646,1.1538,520
1737435600000,1.12,1.19,1.1,1.11,148491,1.1352,727
1737522000000,1.1,1.15,1.08,1.12,130103,1.1113,573
1737608400000,1.12,1.33,1.12,1.235,336798,1.2144,916
1737694800000,1.23,1.31,1.22,1.29,117285,1.267,481
1737954000000,1.33,1.39,1.24,1.24,242454,1.3091,767
1738040400000,1.29,1.31,1.06,1.1,227389,1.1312,897
1738126800000,1.1,1.15,1.09,1.12,59159,1.1134,358
1738213200000,1.12,1.28,1.1199,1.23,88480,1.1803,409
1738299600000,1.23,1.29,1.1501,1.16,136476,1.2316,377
1738558800000,1.15,1.2,1.1395,1.15,87064,1.1636,265
1738645200000,1.2,1.23,1.16,1.2,36752,1.1972,294
1738731600000,1.2,1.2,1.16,1.16,32708,1.1747,220
1738818000000,1.24,1.24,1.1401,1.21,58698,1.2007,382
1738904400000,1.21,1.3,1.19,1.22,86208,1.2333,395
1739163600000,1.23,1.8,1.2,1.75,1178668.0,1.6006,5110
1739250000000,1.67,1.67,1.3,1.39,273345,1.4359,1354
1739336400000,1.33,1.3542,1.26,1.27,103685,1.3133,474
1739422800000,1.23,1.2974,1.16,1.2,115130,1.2184,493
1739509200000,1.23,1.27,1.18,1.19,46550,1.2149,268
1739854800000,1.16,1.2395,1.15,1.16,80438,1.1844,341
1739941200000,1.18,1.18,1.12,1.15,69968,1.1484,326
1740027600000,1.12,1.15,1.02,1.11,122578,1.0704,270
1740114000000,1.1399,1.15,1.085,1.0951,35066,1.1157,144
1740373200000,1.1,1.1041,0.9975,1.03,101526,1.0426,350
1740459600000,1.04,1.06,0.96,0.99,83713,1.0069,264
1740546000000,0.9703,1.04,0.9703,1.03,52407,1.0091,231
1740632400000,1.042,1.07,0.9912,1,26536,1.015,189
1740718800000,0.98,0.99,0.9408,0.95,32064,0.9596,134
1740978000000,0.95,0.98,0.87,0.892,48809,0.9266,243
1741064400000,0.86,0.9128,0.8009,0.909184,44649,0.8623,182
1741150800000,0.91,0.99,0.91,0.98,12676,0.9459,115
1741237200000,1.05,1.08,0.9698,0.99,32604,1.0182,213
1741323600000,0.9892,0.9892,0.8978,0.9401,38642,0.9356,719
1741579200000,0.96,0.96,0.824,0.8999,26766,0.9203,161
1741665600000,0.89,0.895,0.85,0.85,17098,0.8799,111
1741752000000,0.899,0.94,0.8501,0.9299,26132,0.9031,116
1741838400000,0.93,0.9955,0.9089,0.92,14140,0.9433,94
1741924800000,0.93,0.999999,0.9,0.902,107502,0.9356,211
1742184000000,0.99,0.998,0.93,0.9432,18131,0.9552,81
1742270400000,0.98,0.98,0.92,0.9555,17252,0.94,71
1742356800000,0.98,0.98,0.92,0.9535,20862,0.9337,100
1742443200000,0.9534,0.9535,0.903,0.92,6519,0.937,63
1742529600000,0.91,0.95,0.8901,0.92,5486,0.9116,62
1742788800000,0.912,0.999,0.8378,0.9,56066,0.8812,175
1742875200000,0.916,0.916,0.86,0.8796,68064,0.8785,144
1742961600000,0.888,0.915999,0.8506,0.8761,6437,0.889,43
1743048000000,0.87,0.9159,0.863,0.8796,9938,0.8736,62
1743134400000,0.8641,0.916,0.85,0.884951,24336,0.8991,79
1743393600000,0.8585,0.8585,0.84,0.84,33646,0.8478,139
1743480000000,0.84,0.8725,0.8279,0.8594,8340,0.8488,61
1743566400000,0.8601,0.8798,0.801,0.8789,16706,0.849,103
1743652800000,0.824,0.86,0.81,0.83,13723,0.8253,71
1743739200000,0.8,0.8,0.75,0.7501,25258,0.7851,135
1743998400000,0.861,0.861,0.6899,0.71,51558,0.7471,240
1744084800000,0.72,0.7961,0.72,0.733,51506,0.7499,95
1744171200000,0.733,0.7897,0.71,0.74,26414,0.7265,94
1744257600000,0.73,0.744999,0.7,0.73,54153,0.7094,102
1744344000000,0.768,0.79,0.759999,0.7899,14983,0.7756,61
1744603200000,0.81,0.83,0.76,0.815,30968,0.7995,97
1744689600000,0.8088,1.34,0.8088,1.08,1949923.0,1.1232,6981
1744776000000,0.9639,1.0604,0.89,0.914949,225200,0.9555,636
1744862400000,0.8875,0.888,0.7901,0.8313,104382,0.8349,284
1745208000000,0.8159,0.899,0.7979,0.8602,31577,0.8276,197
1745294400000,0.88,0.924,0.81225,0.913,25288,0.8778,119
1745380800000,0.913,0.97,0.865,0.9601,51111,0.9254,165
1745467200000,0.9093,1,0.908,1,27723,0.9777,169
1745553600000,1,1,0.9376,0.97,22941,0.955,134
1745812800000,1,1,0.956,0.9798,18188,0.9825,96
1745899200000,0.95,0.96,0.9001,0.9599,19384,0.9368,104
1745985600000,0.9101,0.9394,0.905,0.939,30586,0.9213,79
1746072000000,0.91,0.93,0.9001,0.92,16266,0.9154,93
1746158400000,0.9,0.9554,0.9,0.93,15356,0.9087,78
1746417600000,0.7747,0.9284,0.7747,0.86,46727,0.8449,172
1746504000000,0.86,0.92,0.8551,0.8551,23389,0.8789,134
1746590400000,0.89,0.899,0.86,0.89,11474,0.8709,94
1746676800000,0.8766,0.895,0.8,0.8608,43032,0.8403,163
1746763200000,0.9,0.9,0.8608,0.8609,11540,0.8802,71
1747022400000,0.8706,0.96,0.797,0.9288,40511,0.8833,227
1747108800000,0.9,1.05,0.8999,0.9911,88433,0.9647,315
1747195200000,0.942,1.075,0.942,1.04,50851,0.9956,197
1747281600000,0.9506,1.0036,0.9191,0.98,28375,0.9579,139
