timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,0.22,0.28,0.22,0.252,170359,0.2377,170
1735880400000,0.28,0.55,0.26,0.3825,428943,0.3829,761
1736139600000,0.77,0.9875,0.55,0.9324,1517192.0,0.8016,3852
1736226000000,1.2,1.26,0.7211,0.84,1232373.0,1.1172,2468
1736312400000,0.9,0.94,0.62,0.850101,348162,0.7827,774
1736485200000,0.91,0.92,0.8,0.83,286653,0.8446,571
1736744400000,0.81,0.93,0.61,0.695,254262,0.741,506
1736830800000,0.72,0.789899,0.6005,0.64,125561,0.6744,248
1736917200000,0.7305,0.764405,0.6752,0.7,169690,0.7133,395
1737003600000,0.681,0.7191,0.641,0.641101,69251,0.6689,131
1737090000000,0.66,0.7,0.595,0.595,38962,0.6592,112
1737435600000,0.63,0.698,0.63,0.64,64212,0.661,198
1737522000000,0.6595,0.719899,0.65,0.65,91831,0.6788,201
1737608400000,0.6004,0.6519,0.6004,0.6102,32510,0.6252,75
1737694800000,0.62125,0.778,0.62,0.625,209757,0.6914,338
1737954000000,0.6197,0.625,0.4412,0.5241,87111,0.532,314
1738040400000,0.485,0.58,0.48,0.5101,19951,0.5227,69
1738126800000,0.53,0.5902,0.52,0.52,12765,0.5331,37
1738213200000,0.5549,0.5798,0.45,0.53,37722,0.5112,83
1738299600000,0.5499,0.5698,0.5,0.5202,55007,0.5323,183
1738558800000,0.672701,0.672701,0.4899,0.52,40831,0.5028,65
1738645200000,0.5187,0.533199,0.4325,0.4953,51718,0.4809,95
1738731600000,0.491,0.495999,0.45,0.4899,5330,0.4794,41
1738818000000,0.59,0.6039,0.495,0.5692,54736,0.5595,156
1738904400000,0.57,0.6099,0.56,0.5601,29497,0.5901,141
1739163600000,0.621949,0.6966,0.6,0.6,51541,0.669,177
1739250000000,0.61,0.67,0.55,0.55,15736,0.6273,53
1739336400000,0.595,0.6387,0.51,0.54999,52107,0.5315,99
1739422800000,0.54,0.58,0.5231,0.56,74720,0.5508,104
1739509200000,0.57,0.6051,0.51,0.5127,25122,0.5451,101
1739854800000,0.523,0.6,0.523,0.5231,42353,0.5375,111
1739941200000,0.500101,0.53,0.5,0.51,12701,0.5135,48
1740027600000,0.4855,0.51,0.45,0.49,15638,0.4799,60
1740114000000,0.54,0.54,0.45,0.4985,34975,0.4749,90
1740373200000,0.575,0.575,0.385717,0.3937,51391,0.4262,159
1740459600000,0.39,0.397,0.31,0.385,41543,0.3542,89
1740546000000,0.3534,0.397,0.3101,0.397,12564,0.3601,39
1740632400000,0.3502,0.41793,0.35,0.41793,15461,0.3809,58
1740718800000,0.35,0.4275,0.3,0.365,65076,0.3558,208
1740978000000,0.331251,0.3936,0.313,0.3399,13640,0.3375,50
1741064400000,0.3399,0.3725,0.312,0.32,29055,0.327,91
1741150800000,0.3,0.3,0.25,0.26,75934,0.2685,112
1741237200000,0.2575,0.29,0.25,0.25,37065,0.2612,50
1741323600000,0.25,0.275,0.2175,0.2461,38418,0.2579,36
1741579200000,0.24,0.259999,0.1525,0.1747,46485,0.1998,77
1741665600000,0.1625,0.2,0.1625,0.1893,8728,0.1947,21
1741752000000,0.1792,0.2849,0.1792,0.1951,48045,0.1967,85
1741838400000,0.2212,0.235,0.16,0.22,25589,0.2039,63
1741924800000,0.2,0.285,0.2,0.2606,9144,0.2243,24
1742184000000,0.31,0.31,0.2034,0.2363,25030,0.2482,90
1742270400000,0.3483,0.355,0.24,0.24,31726,0.2794,78
1742356800000,0.36,0.365,0.2434,0.2455,21438,0.2694,107
1742443200000,0.257187,0.288116,0.2225,0.237,34876,0.2418,41
1742529600000,0.2225,0.295,0.2225,0.2771,11516,0.24,43
1742788800000,0.2771,0.2775,0.232,0.2775,5611,0.262,25
1742875200000,0.2774,0.2774,0.2322,0.2534,1819,0.2411,21
1742961600000,0.2322,0.26,0.2,0.2,35052,0.2188,63
1743048000000,0.2575,0.2575,0.2062,0.2569,2234,0.2431,17
1743134400000,0.25,0.25,0.18,0.23,16611,0.2114,65
1743393600000,0.24,0.24,0.165643,0.205,26113,0.1834,82
1743480000000,0.22,0.2275,0.2,0.2,7194,0.2141,14
1743566400000,0.214099,0.2324,0.2,0.220001,16902,0.2156,46
1743652800000,0.17,0.2,0.17,0.1861,15430,0.1805,58
1743739200000,0.19,0.22,0.19,0.2175,32284,0.2138,31
1743998400000,0.22,0.23,0.2025,0.215,5619,0.2131,44
1744084800000,0.2344,0.24,0.2044,0.21,11104,0.219,48
1744171200000,0.254,0.254,0.19,0.1987,26910,0.1998,69
1744257600000,0.2475,0.2475,0.2475,0.2475,886,0.2453,9
1744344000000,0.2,0.2298,0.1901,0.2001,6621,0.2069,29
1744603200000,0.25,0.25,0.207,0.25,6363,0.2392,30
1744689600000,0.2525,0.27,0.2202,0.23,9777,0.2329,31
1744776000000,0.2144,0.2144,0.2,0.205,5922,0.2042,17
1744862400000,0.202199,0.211949,0.202199,0.211949,510,0.2075,8
1745208000000,0.24,0.24,0.18,0.18,9485,0.2034,40
1745294400000,0.22,0.22,0.18,0.21,25539,0.2029,28
1745380800000,0.2171,0.25,0.217,0.24,8502,0.2238,27
1745467200000,0.24,0.3,0.2399,0.3,22651,0.2795,56
1745553600000,0.22,0.26,0.22,0.25375,8083,0.2434,27
1745812800000,0.2996,0.3339,0.2326,0.3339,6314,0.2983,34
1745899200000,0.3339,0.351001,0.2409,0.2699,40564,0.3263,99
1745985600000,0.23,0.28,0.23,0.25,10913,0.2356,32
1746072000000,0.23,0.286,0.2175,0.286,9350,0.2247,29
1746158400000,0.26,0.27,0.26,0.27,812,0.2676,7
1746417600000,0.2285,0.2333,0.2285,0.2333,3079,0.2307,13
1746504000000,0.2598,0.26,0.2001,0.2001,20746,0.2121,67
1746590400000,0.1925,0.242,0.1825,0.242,7238,0.1927,38
1746676800000,0.2,0.248,0.1875,0.2228,12820,0.2052,89
1746763200000,0.2247,0.25,0.2,0.2363,2052,0.2203,23
1747022400000,0.26,0.26,0.2025,0.2499,26837,0.2386,68
1747108800000,0.25,0.25,0.2304,0.25,8971,0.2415,41
1747195200000,0.240299,0.25,0.2306,0.2306,7473,0.2441,114
1747368000000,0.2269,0.3,0.2268,0.29,26890,0.2594,139
1747627200000,0.27,0.344,0.27,0.344,7807,0.2996,31
1747713600000,0.23,0.291,0.2001,0.22,96935,0.2285,152
1747800000000,0.239,0.239,0.21,0.21,16993,0.2221,48
1747886400000,0.256,0.256,0.2,0.23075,11825,0.2419,34
1747972800000,0.2241,0.26,0.2062,0.26,7294,0.2277,18
1748318400000,0.26,0.27,0.24,0.27,8803,0.2503,41
1748404800000,0.237601,0.2693,0.2338,0.2693,13039,0.2498,68
1748491200000,0.25105,0.2694,0.205,0.2498,32251,0.2218,109
1748577600000,0.24,0.24,0.2112,0.2387,24220,0.214,53
1748836800000,0.2386,0.252,0.2194,0.252,19786,0.2446,29
1748923200000,0.258,0.26,0.225099,0.2388,25849,0.2442,83
1749009600000,0.24,0.24,0.2203,0.2381,12151,0.2264,71
1749096000000,0.227901,0.2357,0.213,0.234,33317,0.224,176
1749182400000,0.23,0.23,0.2011,0.2146,45709,0.2131,236
1749441600000,0.2268,0.26,0.21,0.26,25894,0.2303,61
1749528000000,0.26,0.27,0.2152,0.2152,19452,0.2377,63
1749614400000,0.226,0.2399,0.225,0.225,6728,0.2254,14
1749700800000,0.25,0.26,0.225,0.235,14564,0.2396,32
1749787200000,0.249,0.25,0.2121,0.2352,29211,0.2306,71
1750046400000,0.2166,0.2348,0.2132,0.215799,19975,0.2217,48
1750132800000,0.23,0.23,0.21,0.229,10010,0.2171,29
