timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,7.45,7.595,7.25,7.5,1919708.0,7.4953,11283
1735880400000,7.55,7.58,7.375,7.39,800050,7.4199,8139
1736139600000,7.5,7.66,7.41,7.44,1118734.0,7.5232,7978
1736226000000,7.46,7.64,7.42,7.51,1255326.0,7.5377,8751
1736312400000,7.45,7.53,7.27,7.51,1137553.0,7.4561,7652
1736485200000,7.46,7.53,7.37,7.52,811937,7.4837,7761
1736744400000,7.49,7.6,7.46,7.5,1266890.0,7.521,9269
1736830800000,7.5,7.58,7.3,7.37,1264884.0,7.3799,8449
1736917200000,7.53,7.6,7.395,7.49,1686137.0,7.4927,10786
1737003600000,7.45,7.45,7.205,7.28,1429893.0,7.2974,10240
1737090000000,7.26,7.375,7.14,7.15,1121295.0,7.2369,6210
1737435600000,7.25,7.33,7.16,7.28,1118275.0,7.2573,8895
1737522000000,7.26,7.44,7.22,7.33,1940493.0,7.366,11288
1737608400000,7.34,7.35,7.17,7.2,1534820.0,7.242,9383
1737694800000,7.18,7.435,7.17,7.33,1867037.0,7.3574,9603
1737954000000,7.32,7.46,7.28,7.46,3065151.0,7.3813,12395
1738040400000,7.45,7.5032,7.33,7.42,1590148.0,7.4052,9540
1738126800000,7.47,7.835,7.47,7.82,1462984.0,7.6751,10995
1738213200000,7.88,7.99,7.75,7.84,1543025.0,7.8768,10247
1738299600000,7.85,7.87,7.71,7.75,950030,7.7996,8635
1738558800000,7.41,7.64,7.27,7.6,1152446.0,7.5503,10069
1738645200000,7.64,7.78,7.48,7.75,1037261.0,7.7274,8739
1738731600000,7.74,7.9,7.67,7.85,1113958.0,7.8263,8907
1738818000000,7.91,7.94,7.765,7.94,1157646.0,7.8759,8061
1738904400000,7.93,8.03,7.77,7.87,1307807.0,7.8558,10081
1739163600000,7.95,8.12,7.88,8.11,950384,8.0577,8898
1739250000000,8.09,8.41,8.01,8.37,1625093.0,8.2854,10444
1739336400000,8.37,8.48,8.26,8.39,967823,8.3745,9276
1739422800000,8.42,8.42,8.21,8.39,771320,8.3458,7214
1739509200000,8.43,8.47,8.27,8.47,777398,8.3863,7388
1739854800000,8.44,8.465,8.25,8.34,1637063.0,8.3388,9707
1739941200000,8.3,8.44,8.21,8.44,1452318.0,8.3339,5592
1740027600000,8.44,8.505,8.305,8.48,598218,8.4286,5515
1740114000000,8.5,8.52,8.34,8.37,1136281.0,8.4073,7209
1740373200000,8.4,8.45,8.24,8.25,584957,8.3145,5146
1740459600000,8.26,8.36,8.11,8.13,783014,8.1602,6089
1740546000000,8.16,8.196,7.925,8.03,2549066.0,7.9837,11198
1740632400000,8.03,8.115,7.95,7.96,2342535.0,8.0295,10968
1740718800000,7.95,7.95,7.53,7.65,1396588.0,7.6804,10607
1740978000000,7.71,7.86,7.55,7.59,946975,7.6673,7708
1741064400000,7.54,7.705,7.38,7.61,1008155.0,7.5701,7105
1741150800000,7.68,7.77,7.6,7.71,658915,7.7163,7445
1741237200000,7.72,7.94,7.62,7.91,1012976.0,7.8211,8538
1741323600000,7.88,8.09,7.875,8.06,1199528.0,8.0076,7519
1741579200000,8.07,8.12,7.84,7.91,1046946.0,7.9727,8813
1741665600000,7.86,7.95,7.72,7.8,1200227.0,7.8015,8103
1741752000000,8.3,8.335,7.8529,8.22,1223415.0,8.223,9612
1741838400000,8.12,8.15,7.79,7.92,2599396.0,7.9514,15991
1741924800000,7.93,8.4511,7.84,8.27,4531989.0,8.1213,17699
1742184000000,8.26,8.46,8.26,8.42,1575761.0,8.3949,10794
1742270400000,8.35,8.39,8.1,8.15,1164403.0,8.1845,9061
1742356800000,8.17,8.51,8.08,8.48,2704222.0,8.4414,13753
1742443200000,8.35,8.43,8.26,8.29,1135557.0,8.3064,7562
1742529600000,8.22,8.23,8.1,8.18,1110911.0,8.1751,7358
1742788800000,8.12,8.17,7.97,7.98,706118,8.0464,7514
1742875200000,8.02,8.19,8.02,8.06,740412,8.0837,6308
1742961600000,8.08,8.12,7.98,8.03,1016120.0,8.019,7041
1743048000000,8,8.27,8,8.25,661668,8.1977,6532
1743134400000,8.2,8.2792,8.015,8.15,911091,8.1104,9911
1743393600000,8.03,8.12,7.9,8.06,1620089.0,8.0342,10643
1743480000000,8.21,8.29,8.065,8.23,1320211.0,8.232,8905
1743566400000,8.17,8.32,8.17,8.24,1078721.0,8.2622,7766
1743652800000,8.11,8.21,7.95,7.99,3589326.0,8.0276,13932
1743739200000,7.86,7.86,7.23,7.24,2203188.0,7.3864,12364
1743998400000,6.91,7.28,6.7,7.01,3105827.0,6.9714,16255
1744084800000,7.25,7.25,6.75,6.87,4239433.0,6.9087,16245
1744171200000,6.82,7.46,6.66,7.2,2886577.0,7.0919,15595
1744257600000,7.02,7.06,6.74,7.06,4430644.0,6.9566,16842
1744344000000,7.1,7.37,6.98,7.22,2212228.0,7.2557,14035
1744603200000,7.35,7.4,7.22,7.29,967422,7.3287,7341
1744689600000,7.28,7.29,7.055,7.14,1121940.0,7.1281,9222
1744776000000,7.09,7.15,6.875,7.01,1483902.0,6.9954,10484
1744862400000,7.05,7.515,7.05,7.46,6248832.0,7.368,10311
1745208000000,7.4,7.44,7.23,7.36,3361717.0,7.3412,10331
1745294400000,7.43,7.62,7.37,7.6,1052072.0,7.4888,8994
1745380800000,7.68,7.77,7.48,7.48,1396099.0,7.5539,9334
1745467200000,7.51,7.6075,7.4,7.51,1734741.0,7.501,10016
1745553600000,7.51,7.58,7.34,7.57,1485573.0,7.4798,12162
1745812800000,7.6,7.7035,7.59,7.65,952315,7.6402,8789
1745899200000,7.62,7.72,7.53,7.65,843551,7.6595,7731
1745985600000,7.57,7.66,7.5394,7.65,874916,7.6208,6661
1746072000000,7.61,7.66,7.48,7.55,812050,7.5438,7158
1746158400000,7.69,7.7,7.595,7.69,761629,7.666,8683
1746417600000,7.69,7.92,7.67,7.8,865729,7.8223,8072
1746504000000,7.73,7.94,7.72,7.9,737630,7.875,8099
1746590400000,7.9,8.01,7.85,7.98,624447,7.9469,6540
1746676800000,8,8.045,7.92,7.98,3044907.0,7.9825,15535
1746763200000,8,8.145,7.98,8.02,913987,8.0396,8425
1747022400000,8.15,8.24,7.82,7.93,1238759.0,7.9521,10702
1747108800000,8.01,8.195,7.88,8.16,1455611.0,8.1161,11701
1747195200000,7.065,7.8275,6.81,7.7,4685910.0,7.4759,24607
1747281600000,7.67,7.6752,7.305,7.4,1523301.0,7.4448,10807
1747368000000,7.35,7.59,7.32,7.57,1790833.0,7.482,11339
1747627200000,7.51,7.73,7.5,7.67,1468277.0,7.6591,12921
1747713600000,7.65,7.69,7.47,7.52,880154,7.55,8101
1747800000000,7.49,7.55,7.31,7.44,1335852.0,7.4002,11127
1747886400000,7.35,7.48,7.35,7.47,1180320.0,7.4077,10590
1747972800000,7.36,7.38,7.19,7.36,1127118.0,7.301,9501
1748318400000,7.41,7.635,7.41,7.62,1279451.0,7.5511,10834
1748404800000,7.6,7.65,7.505,7.54,1158808.0,7.5604,10108
1748491200000,7.54,7.54,7.245,7.34,2061407.0,7.3277,11603
1748577600000,7.33,7.44,7.29,7.41,1458811.0,7.3787,7761
