timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,9.85,9.85,9.62,9.7,297786,9.7163,2949
1735880400000,9.3,9.3699,8.89,8.94,2559878.0,9.0662,19306
1736139600000,9.02,9.11,8.753,8.82,978969,8.8941,6367
1736226000000,8.82,8.89,8.55,8.61,682654,8.6775,7379
1736312400000,8.55,8.58,8.2601,8.33,659956,8.3555,7385
1736485200000,8.26,8.29,8.13,8.23,829534,8.2017,7754
1736744400000,8.23,8.71,8.18,8.3,2008540.0,8.308,12705
1736830800000,8.33,8.36,8,8.17,596977,8.1303,6095
1736917200000,8.33,8.465,8.24,8.4,409757,8.3964,4648
1737003600000,8.41,8.42,8.13,8.25,361705,8.2473,4730
1737090000000,8.28,8.435,8.26,8.32,282903,8.3427,5051
1737435600000,8.48,8.86,8.29,8.46,391576,8.4689,5761
1737522000000,8.5,8.715,8.38,8.5,364467,8.5631,4393
1737608400000,8.52,8.8,8.431,8.63,291024,8.6631,3543
1737694800000,8.68,8.96,8.625,8.85,381375,8.8321,4307
1737954000000,8.73,8.81,8.49,8.61,366744,8.5922,4283
1738040400000,8.59,8.615,8.24,8.46,426278,8.3891,4902
1738126800000,8.5,8.67,8.39,8.55,318382,8.5351,3822
1738213200000,8.62,8.67,8.52,8.65,341507,8.6114,4478
1738299600000,8.66,8.6799,8.15,8.16,638419,8.2993,7009
1738558800000,7.74,8.27,7.73,8.16,476630,8.1056,5523
1738645200000,8.19,8.53,8.14,8.42,585297,8.4336,4657
1738731600000,8.41,8.45,8.27,8.36,239364,8.3823,4023
1738818000000,8.44,8.62,8.4,8.58,578331,8.5053,4672
1738904400000,8.42,8.62,8.29,8.32,409871,8.3527,4708
1739163600000,8.12,8.37,7.89,8.21,660025,8.2015,7168
1739250000000,8.22,8.32,8.055,8.12,533073,8.1477,5494
1739336400000,8.02,8.2,8,8.06,468077,8.0661,5038
1739422800000,8.14,8.14,7.895,8.12,496131,8.0153,5218
1739509200000,8.19,8.28,7.95,7.99,230708,8.0283,3408
1739854800000,8,8.2,7.865,8.07,280397,8.0596,3212
1739941200000,8.09,8.2331,7.86,7.87,345321,7.9157,4346
1740027600000,7.86,7.945,7.76,7.79,591560,7.8296,5591
1740114000000,7.82,7.82,7.52,7.57,585271,7.6044,5440
1740373200000,7.67,7.67,7.35,7.36,774702,7.4388,7150
1740459600000,7.37,7.37,6.915,7.04,3193149.0,7.032,18807
1740546000000,7.1,7.26,6.945,7.23,2794843.0,7.0801,14508
1740632400000,7.14,7.38,6.995,7.03,1395466.0,7.1027,11282
1740718800000,7.01,7.35,6.96,7.34,933894,7.2102,8374
1740978000000,7.4,7.5,6.75,6.8,1272530.0,6.8968,10965
1741064400000,6.66,6.75,6.45,6.54,1769681.0,6.5208,15854
1741150800000,6.58,6.93,6.505,6.84,883000,6.7899,8046
1741237200000,6.82,6.82,6.57,6.74,1481162.0,6.7021,11585
1741323600000,6.71,6.79,6.37,6.38,1403365.0,6.4961,14770
1741579200000,6.29,6.31,5.49,5.5,4080974.0,5.7221,24632
1741665600000,5.53,5.85,5.195,5.81,2783623.0,5.5085,18033
1741752000000,5.89,6.14,5.8,5.82,2532564.0,5.9801,17143
1741838400000,5.805,6.29,5.5401,6.24,3735355.0,6.099,19995
1741924800000,6.39,6.74,6.39,6.55,2182652.0,6.5781,14398
1742184000000,6.53,6.67,6.2,6.33,917326,6.3203,9584
1742270400000,6.34,6.42,6.205,6.35,554582,6.3301,5119
1742356800000,6.38,6.6,6.35,6.51,672528,6.5243,6515
1742443200000,6.45,6.55,6.29,6.31,514284,6.3829,7281
1742529600000,6.16,6.2,6.02,6.15,1286443.0,6.1408,7518
1742788800000,6.25,6.36,6.21,6.22,642971,6.2969,7401
1742875200000,6.23,6.295,6.13,6.14,478504,6.1804,4894
1742961600000,6.16,6.22,5.91,5.94,613488,5.9701,7455
1743048000000,5.92,5.92,5.75,5.79,692564,5.7989,8264
1743134400000,5.77,5.855,5.67,5.71,808425,5.7479,9747
1743393600000,5.59,5.65,5.38,5.42,1044011.0,5.4584,10380
1743480000000,5.41,5.55,5.25,5.44,762041,5.3836,7263
1743566400000,5.35,5.66,5.31,5.63,1016537.0,5.5052,8564
1743652800000,5.37,5.55,5.06,5.11,1221779.0,5.2715,11945
1743739200000,4.84,4.94,4.515,4.68,1935124.0,4.6618,12991
1743998400000,4.5,4.96,4.38,4.75,2874215.0,4.698,17757
1744084800000,4.99,4.99,4.255,4.33,1962052.0,4.4606,17676
1744171200000,4.31,4.96,4.17,4.91,1486253.0,4.6943,11100
1744257600000,4.87,4.87,4.4,4.6,851559,4.5479,7562
1744344000000,4.62,4.76,4.52,4.65,543821,4.6471,5941
1744603200000,4.72,4.84,4.55,4.59,771219,4.6085,6262
1744689600000,4.59,4.73,4.54,4.55,531523,4.5953,4753
1744776000000,4.51,4.7375,4.51,4.71,740641,4.642,5484
1744862400000,4.87,4.89,4.75,4.8,661052,4.8211,5534
1745208000000,4.75,4.875,4.645,4.85,906336,4.7745,7103
1745294400000,4.87,5.095,4.83,4.85,751783,4.9337,6298
1745380800000,5.04,5.15,4.89,4.93,987428,4.9969,7938
1745467200000,4.95,5.34,4.95,5.25,1216472.0,5.2262,9026
1745553600000,5.32,5.56,5.0408,5.13,1122012.0,5.1193,8792
1745812800000,5.12,5.31,5.06,5.11,965708,5.1142,8309
1745899200000,5.08,5.16,5.04,5.07,1522921.0,5.0832,9569
1745985600000,4.42,5.2,4.27,5.115,1420868.0,4.9889,10948
1746072000000,5.09,5.415,5.07,5.34,1136553.0,5.2764,6401
1746158400000,5.53,5.815,5.46,5.76,816933,5.7135,8496
1746417600000,5.73,5.78,5.57,5.64,914139,5.6329,7994
1746504000000,5.6,5.61,5.41,5.46,851428,5.5026,6365
1746590400000,5.47,5.47,5.235,5.27,426358,5.3121,4854
1746676800000,5.32,5.865,5.28,5.81,1326801.0,5.7063,11832
1746763200000,5.83,6.04,5.74,5.98,767846,5.9319,8837
1747022400000,6.27,6.39,6.06,6.26,1011217.0,6.1902,9854
1747108800000,6.21,6.28,6.04,6.04,960598,6.1267,8663
1747195200000,6.01,6.04,5.755,5.82,478164,5.8417,4616
1747281600000,5.76,5.8,5.6451,5.75,427269,5.7386,4289
1747368000000,5.76,5.835,5.575,5.75,549641,5.7282,5068
1747627200000,5.66,5.84,5.62,5.75,601773,5.7639,6469
1747713600000,5.77,5.77,5.565,5.59,454277,5.6242,4785
1747800000000,5.54,5.615,5.42,5.47,389142,5.5219,5199
1747886400000,5.44,5.455,5.31,5.37,569790,5.3826,5371
1747972800000,5.29,5.425,5.28,5.4,481439,5.3914,4743
1748318400000,5.49,5.55,5.39,5.51,335430,5.4929,4301
