timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,6.47,7.01,6.47,6.97,60898,6.7794,1054
1735880400000,7.06,7.2981,6.86,7.19,68826,7.1355,1152
1736139600000,7.37,7.4114,7,7.3,88202,7.2597,1409
1736226000000,7.39,8.08,7.33,7.5,96106,7.7098,1422
1736312400000,7.37,7.535,6.82,6.91,91487,7.0787,1518
1736485200000,6.98,7.14,6.46,6.61,115814,6.699,1528
1736744400000,6.64,6.7362,6.36,6.55,48623,6.5049,741
1736830800000,6.67,7.25,6.6394,6.92,63543,6.9233,812
1736917200000,7.03,7.15,6.905,6.98,56087,7.0117,926
1737003600000,7,7.1099,6.8,6.89,59176,6.9493,888
1737090000000,7,7.0687,6.88,6.9,111771,6.9756,959
1737435600000,6.92,7.015,6.76,6.76,88429,6.9302,812
1737522000000,6.8,6.84,6.4,6.43,286004,6.5156,1759
1737608400000,6.5,6.55,6.15,6.3,93936,6.308,1343
1737694800000,6.29,6.47,6.29,6.47,55449,6.3887,1147
1737954000000,6.46,6.6199,6.32,6.55,75517,6.4761,1694
1738040400000,6.56,6.6288,6.4084,6.52,76987,6.508,1159
1738126800000,6.46,6.65,6.35,6.45,86421,6.5061,1244
1738213200000,6.5,6.51,6.19,6.3,154115,6.3121,1352
1738299600000,6.38,6.38,6.07,6.25,91771,6.2084,1487
1738558800000,6.03,6.2187,5.7055,5.92,132513,5.9775,1540
1738645200000,6,6.22,5.87,5.87,88898,6.0363,1237
1738731600000,5.87,5.94,5.38,5.88,148689,5.6589,1331
1738818000000,5.85,6,5.6,5.66,59893,5.7383,763
1738904400000,5.76,5.76,5.27,5.39,147920,5.4284,1357
1739163600000,6,6.02,5.5515,5.82,354401,5.8909,3080
1739250000000,5.83,5.94,5.58,5.68,115765,5.7324,1301
1739336400000,5.69,6.01,5.65,5.71,170395,5.8393,1560
1739422800000,5.79,5.8317,5.5881,5.7,99401,5.7154,1027
1739509200000,5.73,6.06,5.71,6.05,214506,5.9439,1571
1739854800000,6.1,6.19,5.83,5.97,152054,6.0153,1388
1739941200000,5.97,6,5.71,5.8,121518,5.8374,1370
1740027600000,5.8,5.93,5.7,5.76,66678,5.7896,945
1740114000000,5.75,5.8,5.42,5.435,141470,5.6344,1456
1740373200000,5.5,5.5099,5.17,5.36,192657,5.3183,1948
1740459600000,5.59,5.71,5.15,5.23,347074,5.4346,3598
1740546000000,5.23,5.415,5.15,5.3,132796,5.3134,1042
1740632400000,5.35,5.39,5.01,5.05,137792,5.1396,1828
1740718800000,5.12,5.32,4.8713,5.23,141551,5.1287,1140
1740978000000,5.36,5.4,5.09,5.17,77929,5.2719,879
1741064400000,5.07,5.39,5,5.3,209520,5.2128,1766
1741150800000,5.43,5.515,5.3,5.44,235357,5.4476,2288
1741237200000,5.46,5.46,5.0201,5.24,133513,5.255,1173
1741323600000,5.27,5.4,5.02,5.25,159694,5.2009,1365
1741579200000,5.25,5.61,4.92,5.03,83192,5.0971,968
1741665600000,5.1,5.3467,5.1,5.28,151873,5.2541,1259
1741752000000,5.47,5.5,5.3001,5.4,157638,5.4148,1045
1741838400000,5.48,5.4999,5.345,5.39,129808,5.4254,885
1741924800000,5.4,5.569,5.35,5.45,158366,5.4723,1140
1742184000000,5.5,6.51,5.499,6.25,471453,6.0034,3137
1742270400000,6.48,6.5,5.7,5.93,276003,6.0705,1860
1742356800000,5.94,6.13,5.53,5.7,430659,5.8136,1810
1742443200000,5.59,5.8,5.52,5.7,85384,5.6887,1074
1742529600000,5.59,5.86,5.5876,5.7,97563,5.7284,917
1742788800000,5.76,5.9388,5.64,5.68,103026,5.7594,1135
1742875200000,5.63,5.73,5.48,5.6,85956,5.5604,799
1742961600000,5.51,5.6,5.37,5.57,73562,5.4898,644
1743048000000,5.64,5.89,5.6279,5.7,90298,5.7362,917
1743134400000,5.65,5.65,5.25,5.3,124398,5.3513,998
1743393600000,5.3,5.4494,5.1,5.17,118194,5.1763,878
1743480000000,5.12,5.365,5.1,5.28,82102,5.2503,554
1743566400000,5.3,5.42,5.2,5.36,206515,5.3175,1965
1743652800000,5.07,5.19,5,5,200704,5.0723,1306
1743739200000,5.1,5.1,3.5975,4.11,512771,4.07,3080
1743998400000,4,4.1,3.7613,3.95,187598,3.9125,1611
1744084800000,4.1,4.341,3.59,3.68,173115,3.8949,1550
1744171200000,3.56,4.17,3.54,3.97,122197,3.8541,1104
1744257600000,3.97,4.1999,3.61,3.97,187477,3.8965,1439
1744344000000,4,4.03,3.85,4,80890,3.9691,617
1744603200000,4.07,4.07,3.85,3.97,88828,3.9572,817
1744689600000,3.92,4.1,3.9,4,118078,4.0095,1277
1744776000000,4,4.03,3.8567,3.94,59665,3.9485,507
1744862400000,3.91,4.03,3.85,3.99,62959,3.9615,752
1745208000000,3.95,4,3.861,3.9,79554,3.9177,668
1745294400000,4,4.13,3.95,4,150908,4.0117,933
1745380800000,4.14,4.25,4.0492,4.05,168733,4.1267,1345
1745467200000,4.11,4.46,4.0301,4.45,111103,4.2587,960
1745553600000,4.44,4.51,4.34,4.45,102267,4.4464,718
1745812800000,4.46,4.5605,4.37,4.38,59105,4.4295,612
1745899200000,4.37,4.37,4.1001,4.3,76428,4.2776,665
1745985600000,4.29,4.4,4.1,4.31,107562,4.2387,747
1746072000000,4.3,4.31,4.2,4.3,80722,4.2891,1150
1746158400000,4.31,4.36,4.22,4.32,111891,4.3006,706
1746417600000,4.32,4.48,4.2,4.25,63113,4.2711,762
1746504000000,4.19,4.34,4.0201,4.06,63389,4.122,640
1746590400000,4.21,4.26,4.05,4.1,166017,4.1642,1274
1746676800000,4.15,4.15,3.97,4.1,153819,4.055,823
1746763200000,4.15,4.17,3.9501,3.96,90387,4.0334,871
1747022400000,4.1,4.12,3.89,3.99,126280,3.9769,864
1747108800000,4,4,3.77,3.91,135881,3.9021,1216
1747195200000,3.9,3.95,3.8,3.92,69837,3.8812,714
1747281600000,4.03,4.36,3.95,4.25,667532,4.1827,4308
1747368000000,4.4,4.57,4.1,4.27,459400,4.369,2594
1747627200000,4.3,4.365,4.06,4.24,154520,4.2087,913
1747713600000,4.19,4.21,4.0901,4.15,51306,4.165,569
1747800000000,4.13,4.1856,3.78,3.88,259851,3.903,1655
1747886400000,3.88,4.0872,3.85,3.96,232220,3.9684,1643
1747972800000,3.94,4.005,3.67,3.98,217101,3.8851,2159
1748318400000,4.08,4.15,4,4.05,191450,4.0759,1214
1748404800000,4.14,4.1486,3.9788,4,337792,4.059,2352
1748491200000,4.03,4.1788,3.815,3.9,145999,3.9738,1213
1748577600000,3.86,4.05,3.7,3.95,208913,3.9356,1392
1748836800000,3.92,3.9946,3.78,3.82,101551,3.8767,1011
1748923200000,3.84,4.1,3.75,4.09,159421,3.9573,1180
1749009600000,4.09,5.15,4.0883,5.13,656321,4.7656,4410
1749096000000,5.49,5.9685,4.75,4.9,782549,5.2558,5225
1749182400000,4.92,5.02,4.65,4.68,207701,4.755,1744
1749441600000,4.76,4.825,4.47,4.5,206967,4.6047,1816
1749528000000,4.55,4.65,4.43,4.5,164293,4.5393,1174
1749614400000,4.55,4.8622,4.32,4.34,587280,4.5541,4402
1749700800000,4.34,4.45,4.1171,4.23,151223,4.2284,1385
1749787200000,4.1,4.2297,4.01,4.03,93144,4.099,769
1750046400000,4.03,4.2499,4.03,4.08,89578,4.1133,737
1750132800000,4.08,4.14,3.9503,4.05,97811,4.043,739
1750219200000,4.11,4.2462,4.05,4.1,316231,4.1496,1890
1750392000000,4.24,4.25,3.85,3.88,546718,4.0834,2959
1750651200000,3.86,3.94,3.63,3.84,285529,3.7769,1829
1750737600000,3.92,4.0393,3.79,3.8,213187,3.8975,1970
1750824000000,4,4.03,3.76,3.87,585094,3.915,3233
1750910400000,3.91,4.0174,3.87,3.96,300105,3.9543,1625
1750996800000,4.01,4.1,3.9,4,393308,4.0011,1433
1751256000000,4,4,3.72,3.78,252588,3.8118,1695
1751342400000,3.75,3.79,3.62,3.73,188260,3.6929,1732
1751428800000,3.7,3.9,3.6,3.87,139453,3.7817,1071
1751515200000,3.87,3.98,3.8133,3.87,67551,3.8932,498
1751860800000,3.87,3.87,3.7,3.85,79006,3.8206,1022
1751947200000,3.84,4.25,3.8,4.14,384114,4.0577,2014
1752033600000,4.19,4.24,3.9198,3.99,323111,4.0928,1676
1752120000000,4.03,4.24,3.99,4.07,350216,4.096,2066
1752206400000,4.09,4.15,4,4.01,136932,4.0714,968
1752465600000,3.97,4.1,3.92,4.02,240587,4.0013,1518
1752552000000,4.01,4.08,3.94,3.97,142044,3.9974,1209
1752638400000,3.96,4.0234,3.8,3.9,168301,3.8695,1595
1752724800000,4.04,4.51,4.03,4.45,961249,4.3098,5485
1752811200000,4.52,4.72,4.45,4.47,346989,4.55,2184
1753070400000,4.51,4.7693,4.4,4.46,361807,4.5614,2744
1753156800000,4.65,5.4352,4.6,5.34,1004188.0,5.0931,6328
1753243200000,5.39,5.3955,4.93,5.17,385457,5.1248,2751
1753329600000,5.03,5.2,4.9701,5.11,258619,5.0644,2106
1753416000000,5.09,5.4,4.95,5.38,225633,5.1449,1528
1753675200000,5.43,5.49,4.5301,4.665,506947,4.882,3430
1753761600000,4.77,5.02,4.69,4.87,302172,4.862,2387
1753848000000,4.91,5.14,4.61,4.67,241117,4.8952,2040
1753934400000,4.7,4.8764,4.48,4.56,156504,4.6168,1635
1754020800000,4.5,4.52,4.21,4.34,165572,4.3714,1617
