timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,10.4,10.545,10.27,10.37,1099798.0,10.3979,10927
1735880400000,10.39,10.7,10.37,10.69,1201529.0,10.6136,11674
1736139600000,10.7,10.75,10.24,10.27,2197089.0,10.4455,16795
1736226000000,10.33,10.33,9.98,10.12,1944773.0,10.1124,15881
1736312400000,10.06,10.1,9.77,9.8,5174371.0,9.8486,19533
1736485200000,9.57,9.65,9.395,9.63,2092570.0,9.5512,17283
1736744400000,9.45,9.67,9.375,9.65,2147530.0,9.5556,17479
1736830800000,9.75,9.94,9.705,9.93,1028477.0,9.8707,9746
1736917200000,10.25,10.25,10.01,10.16,1464440.0,10.1446,11326
1737003600000,10.24,10.36,10.22,10.25,1207084.0,10.2708,10046
1737090000000,10.36,10.415,10.2201,10.38,1131483.0,10.3477,9998
1737435600000,10.5,10.55,10.3,10.41,1213338.0,10.4264,10660
1737522000000,10.39,10.545,10.28,10.37,1280482.0,10.4024,11005
1737608400000,10.29,10.45,10.27,10.42,1133627.0,10.3951,10725
1737694800000,10.39,10.65,10.35,10.51,1166750.0,10.4977,10258
1737954000000,10.38,10.765,10.37,10.66,1662181.0,10.66,14575
1738040400000,10.68,10.87,10.49,10.71,1697298.0,10.7573,14939
1738126800000,10.6,10.835,10.53,10.76,1212209.0,10.6837,12615
1738213200000,10.85,10.925,10.595,10.66,775897,10.7157,10222
1738299600000,10.71,10.79,10.54,10.6,1220287.0,10.6204,10164
1738558800000,10.36,10.745,10.33,10.66,1296858.0,10.6296,12790
1738645200000,10.66,10.7,10.47,10.63,1060831.0,10.6105,8791
1738731600000,10.66,10.82,10.62,10.81,972837,10.7615,8645
1738818000000,10.85,10.86,10.54,10.69,1607866.0,10.6566,14183
1738904400000,10.37,10.485,9.935,10.14,2303381.0,10.1411,22454
1739163600000,10.26,10.29,10.14,10.16,909766,10.1944,12966
1739250000000,10.05,10.255,9.96,9.99,877475,10.0165,9196
1739336400000,9.86,10.05,9.8,9.92,897902,9.8862,11703
1739422800000,10.04,10.0786,9.87,10.04,693344,9.9962,9817
1739509200000,10.05,10.165,9.995,10.05,588233,10.0561,8004
1739854800000,10.12,10.12,9.875,9.96,1120388.0,9.9765,11526
1739941200000,9.88,9.93,9.67,9.77,1232479.0,9.7626,12296
1740027600000,9.75,9.77,9.465,9.49,1327196.0,9.5225,13837
1740114000000,9.57,9.57,9.16,9.22,1104161.0,9.2649,13324
1740373200000,9.27,9.28,8.99,9.12,1092591.0,9.122,13052
1740459600000,9.16,9.26,8.99,9.15,1648945.0,9.1126,18091
1740546000000,7.07,7.7,6.955,7.255,6477043.0,7.4354,36891
1740632400000,7.13,7.52,6.89,7.36,3714088.0,7.3491,25863
1740718800000,7.43,7.785,7.15,7.6,3242278.0,7.5977,24319
1740978000000,7.62,7.765,7.39,7.42,2365834.0,7.5643,21932
1741064400000,7.19,7.34,7.08,7.16,2186121.0,7.1724,21325
1741150800000,7.1,7.345,7.05,7.31,1988402.0,7.2444,17466
1741237200000,7.17,7.295,7.12,7.14,1550034.0,7.1852,15305
1741323600000,7.1,7.22,6.97,7.17,2953678.0,7.0934,20037
1741579200000,7.1,7.125,6.83,7.03,2604578.0,7.0011,20264
1741665600000,7.03,7.16,6.88,6.9,2679105.0,7.0022,23984
1741752000000,7,7.03,6.76,6.89,1387502.0,6.8617,15857
1741838400000,6.89,7.9,6.605,7.84,7847834.0,7.51,47437
1741924800000,7.91,8.09,7.72,7.92,5312779.0,7.9341,35717
1742184000000,7.92,8.37,7.89,8.25,3951133.0,8.2277,26935
1742270400000,8.16,8.52,8.1,8.42,2197232.0,8.4089,19306
1742356800000,8.31,8.51,8.25,8.42,1300080.0,8.4256,12474
1742443200000,8.37,8.53,8.333,8.46,918664,8.4644,8680
1742529600000,8.4,8.53,8.23,8.48,2198705.0,8.4556,14194
1742788800000,8.61,8.7,8.545,8.68,1029304.0,8.6657,12855
1742875200000,8.72,8.78,8.6,8.66,1060784.0,8.6588,12411
1742961600000,8.65,8.775,8.15,8.59,845188,8.6241,10326
1743048000000,8.59,8.7,8.52,8.55,1124126.0,8.5969,10986
1743134400000,8.55,8.59,8.315,8.37,1262039.0,8.3729,10754
1743393600000,8.3,8.56,8.22,8.48,1625048.0,8.4668,11819
1743480000000,8.41,8.725,8.4,8.52,1509950.0,8.5451,12931
1743566400000,8.4,8.7,8.36,8.64,1391058.0,8.6024,10806
1743652800000,8.19,8.365,7.9,7.99,2040301.0,8.0801,14751
1743739200000,7.71,7.91,7.535,7.84,2409786.0,7.7559,21852
1743998400000,7.53,7.91,7.16,7.44,3094746.0,7.5214,29246
1744084800000,7.7,7.86,7.07,7.21,3088072.0,7.4572,21522
1744171200000,7.2,8.095,7.19,7.88,2444191.0,7.8053,18050
1744257600000,7.68,7.78,7.415,7.56,1241969.0,7.5712,11230
1744344000000,7.57,7.745,7.4,7.69,1213172.0,7.6095,12963
1744603200000,7.83,7.89,7.61,7.75,919924,7.7477,9821
1744689600000,7.77,7.91,7.73,7.91,899715,7.8604,9029
1744776000000,7.89,7.93,7.66,7.75,903118,7.7553,9867
1744862400000,7.74,7.82,7.51,7.6,1468796.0,7.6235,11268
