timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,18.26,18.8899,17.69,18.08,252052,18.2013,3990
1735880400000,18.1,18.54,17.845,18.4,86409,18.2354,2265
1736139600000,18.54,19.46,18.54,19.38,154631,19.2294,4229
1736226000000,19.49,20.04,18.555,19.19,322019,19.2556,3821
1736312400000,19.04,19.23,18.73,18.78,113628,18.9463,3013
1736485200000,18.65,18.65,17.77,18.34,101833,18.2452,2669
1736744400000,18.17,18.66,18.05,18.54,95142,18.4055,2641
1736830800000,18.79,19.065,18.28,18.59,114555,18.5929,2998
1736917200000,19.11,19.73,18.84,19.04,145552,19.3841,3488
1737003600000,19,19.36,18.7001,19.27,97170,19.1272,3424
1737090000000,19.5,19.52,18.9,19.1,120350,19.1968,4425
1737435600000,19.21,19.92,19.21,19.37,189402,19.6143,4185
1737522000000,19.48,19.92,19.185,19.19,107916,19.5283,2962
1737608400000,19.05,19.79,18.8921,19.48,90802,19.3989,2973
1737694800000,19.46,19.66,19.23,19.47,124003,19.505,3553
1737954000000,19.21,19.585,18.43,18.52,135748,18.8822,4162
1738040400000,18.63,18.63,17.91,18.38,121800,18.3498,3571
1738126800000,18.62,18.62,18.07,18.08,108498,18.3194,3092
1738213200000,18.2,19.17,18.2,18.69,120911,18.8116,3662
1738299600000,18.75,19.57,18.75,19.05,167194,19.1642,4312
1738558800000,18.57,19.69,18.09,19.55,287613,19.3778,6241
1738645200000,19.7,20.76,19.59,20.55,484014,20.6926,8438
1738731600000,25,26.83,24.68,26.35,1187439.0,25.828,16602
1738818000000,26.08,26.34,24.29,24.57,368443,24.9804,7899
1738904400000,24.58,24.915,22.92,23.66,277976,23.5243,6221
1739163600000,23.58,24.075,22.54,23.17,233843,23.1196,6165
1739250000000,23.13,23.65,22.55,22.95,151098,22.956,3719
1739336400000,22.53,22.6,21.9,22.25,163741,22.2789,3780
1739422800000,22.27,23.3686,21.77,22.44,175373,22.2772,3955
1739509200000,22.55,22.81,21.78,22.16,140597,22.1375,3095
1739854800000,22.25,22.58,21.84,21.84,118100,22.1533,2551
1739941200000,21.84,22.24,21.8,22.13,152294,22.0402,6801
1740027600000,22.2,23.38,21.735,23.29,241316,22.807,4644
1740114000000,23.49,23.8667,22.374,22.57,677347,23.1856,6292
1740373200000,22.82,22.86,21.21,21.46,228392,21.7924,3641
1740459600000,21.57,21.955,21.02,21.24,132716,21.3061,2923
1740546000000,21.38,21.44,20.72,21.29,129331,21.1602,3407
1740632400000,21.31,21.62,20.81,20.85,118085,21.1165,3840
1740718800000,20.67,21.05,20.37,20.93,143227,20.7636,3314
1740978000000,20.98,21.89,20,20.21,215288,20.5312,3748
1741064400000,19.82,20.76,19.77,20.51,122801,20.3355,2674
1741150800000,20.6,20.96,20.27,20.9,80654,20.7136,2657
1741237200000,20.64,21.02,20.4,20.65,114727,20.6153,3100
