timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,4.3,5.8,3.77,5.12,3848992.0,4.7942,32553
1735880400000,4.9,8.15,4.9,6.04,3963458.0,6.6923,36444
1736139600000,6.25,7.99,6.0221,6.7,733678,6.8845,7361
1736226000000,6.83,7.82,6.25,7.52,542547,7.1166,7320
1736312400000,6.5,8.2,6.5,7.65,323071,7.3803,5767
1736485200000,7.42,9.1471,7.2525,8.86,359412,8.4822,5067
1736744400000,8.68,12.5025,8.43,11.11,862246,10.9103,11965
1736830800000,10.38,10.775,7.2988,7.73,493768,9.0146,7043
1736917200000,7.35,7.647,6.195,6.62,292565,6.7455,4492
1737003600000,6.4,6.85,5.1592,5.42,254378,6.1917,4321
1737090000000,5.5,11.8599,5.05,8.85,18625901.0,9.8734,167500
1737435600000,8.17,9.03,6.57,6.92,775435,7.2837,12018
1737522000000,6.71,7.7,6.5,7.02,352863,7.282,3586
1737608400000,7.05,9.85,6.8807,8.15,1024540.0,8.5942,11997
1737694800000,8.3,8.9499,7,7.69,414610,8.1241,4409
1737954000000,7.03,8.2888,7.0007,7.17,146193,7.4805,2412
1738040400000,6.81,7.4573,6.72,7.28,88039,7.2081,962
1738126800000,7.98,7.9896,6.68,6.98,143744,7.1136,1493
1738213200000,6.84,7.6973,6.5927,7.28,191357,7.168,2252
1738299600000,7.21,7.53,6.73,7.09,215450,7.1146,2729
1738558800000,6.66,7.2974,6.5024,6.74,184998,6.8851,2711
1738645200000,6.54,6.9603,5.67,5.83,520754,6.5815,6742
1738731600000,6.21,7.41,6.03,6.09,323822,6.5746,4326
1738818000000,6.09,6.44,5.91,5.98,101921,6.1402,1200
1738904400000,5.91,6.21,5.76,5.9,129754,5.9861,1745
1739163600000,5.78,6.47,5.6493,6.23,147404,6.1748,1612
1739250000000,6.03,6.3977,5.85,5.9,97113,6.1919,2425
1739336400000,5.78,6.2999,5.76,5.91,173265,6.0668,2851
1739422800000,5.79,6.4,5.79,6.25,67564,6.2302,842
1739509200000,6.12,6.85,6.09,6.44,95826,6.4835,1225
1739854800000,6.28,6.8,6.1,6.23,58470,6.3889,1045
1739941200000,6.11,6.54,6.11,6.28,96661,6.4114,1909
1740027600000,6.69,6.69,5.95,6.05,134963,6.2064,1935
1740114000000,6.1,6.36,5.25,5.3,120615,5.8472,1597
1740373200000,5.22,5.5317,4.22,4.355,193029,4.6522,2437
1740459600000,4.01,4.39,4.01,4.04,60104,4.1143,1093
1740546000000,4.43,4.43,3.8114,3.98,36808,4.0606,601
1740632400000,3.98,4.1535,3.352,3.76,89015,3.7527,754
1740718800000,3.66,4.23,3.3,4.08,44757,3.9587,679
1740978000000,3.96,4.2,3.66,3.67,36680,3.8247,518
1741064400000,3.69,3.9899,3.69,3.77,22389,3.795,387
1741150800000,3.77,3.95,3.56,3.78,42045,3.6922,783
1741237200000,3.8,4.2,3.7,4.04,54635,3.9634,450
1741323600000,4.14,4.15,3.76,3.95,40298,3.9603,476
