timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,3.88,4.15,3.76,3.93,31045,4.0133,693
1735880400000,3.85,4.04,3.67,3.97,39286,3.9005,461
1736139600000,3.98,4.06,3.75,3.9911,26715,3.9442,209
1736226000000,4,4.15,3.95,3.95,34321,4.053,283
1736312400000,3.96,4,3.95,3.96,8165,3.9628,37
1736485200000,4,4.08,3.98,3.99,32143,4.0057,92
1736744400000,3.9908,4,3.285,3.58,226871,3.7065,2957
1736830800000,3.8344,4,3.62,3.62,48343,3.8005,475
1736917200000,3.8,3.93,3.62,3.65,18937,3.7956,171
1737003600000,3.6663,3.92,3.65,3.73,25336,3.813,479
1737090000000,3.9785,3.9785,3.65,3.65,10812,3.8067,112
1737435600000,3.99,3.99,3.66,3.77,22318,3.7951,837
1737522000000,3.6985,3.95,3.67,3.76,7610,3.7865,255
1737608400000,3.79,3.82,3.72,3.72,6054,3.7698,143
1737694800000,3.67,3.68,3.465,3.6,8455,3.6014,87
1737954000000,3.5841,3.72,3.34,3.46,37961,3.5919,1051
1738040400000,3.5485,3.87,3.34,3.43,51167,3.5808,1320
1738126800000,3.4491,3.7199,3.39,3.41,18713,3.4666,295
1738213200000,3.53,3.59,3.45,3.45,5801,3.5046,99
1738299600000,3.6975,3.6975,3.4,3.45,4108,3.4839,75
1738558800000,3.39,3.5099,3.39,3.45,4958,3.4785,50
1738645200000,3.4792,3.5,3.43,3.44,7493,3.4529,69
1738731600000,3.4,3.44,3.18,3.35,30409,3.3362,280
1738818000000,3.37,3.37,3.16,3.16,2473,3.3026,90
1738904400000,3.3784,3.3899,2.9,2.99,44493,3.1053,755
1739163600000,3.1,3.2,2.94,3.096,16548,3.1089,436
1739250000000,3.02,3.22,3,3.19,18400,3.1046,740
1739336400000,3.01,3.22,3.01,3.1,14934,3.1261,722
1739422800000,3,3.3941,3,3.3941,2026,3.1585,47
1739509200000,3.2,3.3227,3.0339,3.3227,7914,3.2005,89
1739854800000,3.11,3.3975,3.11,3.18,14979,3.227,444
1739941200000,3.12,3.16,2.95,3.16,4959,3.089,107
1740027600000,3.02,3.06,3.0002,3.046,3214,3.0391,84
1740114000000,3.19,3.2947,3.02,3.02,5344,3.142,204
1740459600000,3.2,3.2,3.01,3.092,3444,3.1211,179
1740546000000,3.01,3.16,2.965,3.0594,7530,3.0671,382
1740632400000,2.9778,3.0264,2.57,3.0253,2369,2.8766,82
1740718800000,2.94,2.9413,2.92,2.92,3371,2.9224,119
1740978000000,3,3.3216,2.76,3.2317,90743,2.9639,2715
1741064400000,3.12,3.13,2.71,3.0493,37253,2.9121,848
1741150800000,2.95,3.15,2.59,2.93,49078,2.8394,1336
1741237200000,2.83,2.9501,2.72,2.93,2311,2.8603,174
1741323600000,2.77,2.996,2.3,2.9019,42770,2.6885,618
1741579200000,2.95,2.9968,2.55,2.698,62782,2.7104,1269
1741665600000,2.62,2.8,2.465,2.65,45517,2.6808,1462
1741752000000,2.82,2.9816,2.46,2.63,9533,2.6791,496
1741838400000,2.7,2.8,2.4,2.46,12770,2.6081,376
1741924800000,2.5,2.93,2.33,2.69,10130,2.5984,328
1742184000000,2.63,2.77,2.5,2.6197,31158,2.6431,1442
1742270400000,2.7,2.71,2.3,2.5802,13567,2.5482,397
1742356800000,2.5795,2.6,2.465,2.5439,3322,2.5365,256
1742443200000,2.6,3,2.39,2.57,52089,2.6499,1694
1742529600000,2.53,2.56,2.3,2.52,12537,2.4239,359
1742788800000,2.61,2.91,2.43,2.54,14204,2.6439,542
1742875200000,2.5036,2.8,2.38,2.55,7551,2.518,481
1742961600000,2.59,2.7,2.31,2.43,49549,2.5192,2435
1743048000000,2.5637,2.5678,2.12,2.12,17050,2.4459,834
1743134400000,2.27,2.7494,2.18,2.22,36570,2.3359,753
1743393600000,2.38,2.39,1.85,2,53910,2.0688,1379
1743480000000,2.07,2.3,1.91,2,22096,2.0809,604
1743566400000,2.25,2.25,2,2.01,19213,2.1146,380
1743652800000,2.04,2.4041,1.95,2,26617,2.0822,670
