timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,2.7,2.98,2.7,2.98,20069,2.8648,1050
1735880400000,2.89,3.15,2.83,2.88,45881,2.954,1891
1736139600000,2.88,3.12,2.68,3.08,66267,2.9733,1560
1736226000000,3.03,3.29,3.02,3.21,38625,3.1409,1198
1736312400000,3.13,3.1354,2.8,2.86,26143,2.977,607
1736485200000,2.9,2.9,2.58,2.61,36249,2.7452,626
1736744400000,2.63,2.81,2.59,2.6491,12726,2.6898,269
1736830800000,2.7,2.7,2.44,2.54,25829,2.5652,1300
1736917200000,2.755,2.755,2.48,2.535,21199,2.5635,633
1737003600000,2.6,2.625,2.44,2.5,33326,2.52,623
1737090000000,2.57,2.76,2.51,2.62,7950,2.6034,610
1737435600000,2.7383,2.86,2.56,2.63,22720,2.6882,698
1737522000000,2.6,2.79,2.5,2.58,50084,2.6094,504
1737608400000,2.52,2.7199,2.51,2.58,14175,2.6151,327
1737694800000,2.58,2.79,2.57,2.66,37665,2.6558,1557
1737954000000,2.58,2.72,2.44,2.55,16201,2.613,535
1738040400000,2.6,2.73,2.45,2.475,10147,2.5363,802
1738126800000,2.5,2.51,2.27,2.365,20561,2.4118,792
1738213200000,2.3,2.54,2.3,2.495,10272,2.4177,246
1738299600000,2.5,2.51,2.36,2.475,15034,2.4261,833
1738558800000,2.36,2.58,2.3,2.36,37722,2.4207,587
1738645200000,2.38,2.6544,2.38,2.55,25202,2.5529,361
1738731600000,2.64,2.64,2.37,2.55,11915,2.4662,532
1738818000000,2.42,2.68,2.39,2.68,5390,2.5328,150
1738904400000,2.57,2.57,2.4,2.46,11247,2.452,371
1739163600000,2.515,2.63,2.4,2.471555,7366,2.4611,120
1739250000000,2.4,2.5,2.4,2.42,8311,2.4456,364
1739336400000,2.51,2.54,2.43,2.54,12860,2.4803,422
1739422800000,2.55,2.63,2.53,2.59,7965,2.571,135
1739509200000,2.62,2.65,2.48,2.5,19885,2.5501,248
1739854800000,2.53,2.57,2.5,2.525,5160,2.5307,123
1739941200000,2.52,2.5206,2.43,2.47,16582,2.4865,158
1740027600000,2.445,2.52,2.4,2.46,6190,2.4589,83
1740114000000,2.4,2.495,2.4,2.45,6957,2.4329,80
1740373200000,2.45,2.46,2.36,2.42,11093,2.391,323
