timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,1.3,1.46,1.3,1.37,368444,1.3727,1563
1735880400000,1.41,1.4568,1.375,1.44,204974,1.4165,717
1736139600000,1.49,1.51,1.375,1.39,250316,1.4165,1243
1736226000000,1.4,1.42,1.3512,1.37,133898,1.3787,651
1736312400000,1.42,1.42,1.3,1.34,248874,1.328,739
1736485200000,1.31,1.31,1.25,1.28,272061,1.2741,1005
1736744400000,1.27,1.28,1.235,1.27,201123,1.2594,679
1736830800000,1.27,1.3,1.205,1.25,263962,1.2428,1245
1736917200000,1.25,1.27,1.22,1.23,198522,1.234,1001
1737003600000,1.23,1.24,1.17,1.21,352133,1.1974,1625
1737090000000,1.21,1.2161,1.19,1.21,212471,1.2046,1075
1737435600000,1.24,1.24,1.21,1.23,253288,1.226,886
1737522000000,1.22,1.33,1.22,1.32,379729,1.2947,1057
1737608400000,1.29,1.365,1.28,1.36,151682,1.3248,524
1737694800000,1.39,1.47,1.38,1.46,476942,1.4354,1922
1737954000000,1.42,1.44,1.26,1.29,364956,1.3375,1077
1738040400000,1.34,1.34,1.28,1.31,205467,1.2992,547
1738126800000,1.31,1.36,1.27,1.31,124245,1.3102,544
1738213200000,1.37,1.475,1.32,1.42,366932,1.3994,1345
1738299600000,1.42,1.46,1.36,1.41,301286,1.4119,1179
1738558800000,1.34,1.3574,1.32,1.33,176368,1.3396,782
1738645200000,1.37,1.41,1.36,1.4,151027,1.388,769
1738731600000,1.42,1.455,1.39,1.44,238383,1.4263,1090
1738818000000,1.51,1.51,1.375,1.45,200092,1.4437,813
1738904400000,1.43,1.49,1.31,1.35,295205,1.38,1102
1739163600000,1.36,1.428,1.3219,1.37,202905,1.3514,713
1739250000000,1.39,1.4,1.29,1.32,229175,1.3232,803
1739336400000,1.31,1.3299,1.28,1.3,221828,1.2985,798
1739422800000,1.3,1.3,1.22,1.24,249453,1.2446,915
1739509200000,1.25,1.25,1.19,1.22,293566,1.2171,919
1739854800000,1.19,1.23,1.1505,1.18,379504,1.1953,988
1739941200000,1.21,1.279,1.1599,1.22,456639,1.206,1447
1740027600000,1.26,1.32,1.19,1.3,345652,1.2522,1124
1740114000000,1.3,1.32,1.19,1.2,217107,1.2303,726
1740373200000,1.21,1.2499,1.105,1.17,419080,1.1616,1145
1740459600000,1.13,1.17,1.06,1.11,346550,1.1007,855
1740546000000,1.12,1.185,1.12,1.18,243487,1.152,465
1740632400000,1.2,1.255,1.1738,1.18,208583,1.2176,618
1740718800000,1.16,1.19,1.11,1.15,161620,1.1301,528
1740978000000,1.16,1.2,1.085,1.09,162946,1.1307,864
1741064400000,1.1,1.145,1.02,1.13,272512,1.0741,690
1741150800000,1.19,1.2,1.07,1.15,280705,1.1354,765
1741237200000,1.12,1.13,1.075,1.08,93533,1.0992,485
1741323600000,1.09,1.17,1.06,1.165,172255,1.1219,609
