timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,9.99,10.208,9.97,10.18,551992,10.1421,3160
1735880400000,10.25,10.31,10.11,10.28,460846,10.2512,2646
1736139600000,10.36,10.515,10.17,10.29,566856,10.2925,2834
1736226000000,10.33,10.345,10.08,10.19,429780,10.1797,2645
1736312400000,10.1,10.3,10.08,10.3,375664,10.1918,3896
1736485200000,10.28,10.35,9.77,9.8,393132,9.8902,3609
1736744400000,9.7,10.135,9.67,9.92,385714,9.9666,5010
1736830800000,9.92,10.34,9.92,10.28,333141,10.2388,3337
1736917200000,10.43,10.43,10.02,10.06,553150,10.0754,3037
1737003600000,10.02,10.285,9.98,10.27,1144930.0,10.2218,4608
1737090000000,10.35,10.5,10.245,10.44,292426,10.405,3458
1737435600000,10.38,10.6142,10.27,10.47,407014,10.487,3725
1737522000000,10.47,10.495,10.21,10.39,404743,10.3872,4214
1737608400000,10.42,10.48,10.24,10.24,236872,10.33,2431
1737694800000,10.29,10.525,10.26,10.44,191115,10.4219,2278
1737954000000,10.39,10.39,9.61,9.62,434027,9.7949,3830
1738040400000,9.69,9.768,9.48,9.71,681559,9.6822,3695
1738126800000,9.7,9.85,9.64,9.7,413150,9.7064,3768
1738213200000,9.77,9.77,9.6,9.71,482543,9.7035,2188
1738299600000,9.65,9.74,9.44,9.5,252946,9.5712,2801
1738558800000,9.25,9.59,8.88,9.43,204270,9.4228,2254
1738645200000,9.41,9.65,9.41,9.58,244128,9.5825,2004
1738731600000,9.6,9.65,9.48,9.58,115192,9.5737,1490
1738818000000,9.61,9.6516,9.32,9.35,198633,9.3792,1764
1738904400000,9.32,9.49,9.29,9.43,788035,9.4244,2617
1739163600000,9.49,9.6509,9.43,9.61,554280,9.5988,1688
1739250000000,9.68,9.68,9.39,9.4,646069,9.4141,1751
1739336400000,9.28,9.54,9.26,9.37,224778,9.4145,3215
1739422800000,9.43,9.43,9.09,9.13,431134,9.16,3815
1739509200000,9.18,9.265,9.06,9.16,327479,9.1751,2503
1739854800000,9.17,9.33,9.0912,9.25,284259,9.2505,1987
1739941200000,9.21,9.28,9.06,9.08,247569,9.1272,1963
1740027600000,9.16,9.26,9.04,9.18,164549,9.1588,1856
1740114000000,9.2,9.2,8.9001,8.97,163064,9.001,2260
1740373200000,8.92,9.01,8.74,8.81,237097,8.8466,2047
1740459600000,8.87,8.87,8.35,8.4,283737,8.446,3044
1740546000000,8.4,8.41,8.07,8.13,550303,8.1467,5070
1740632400000,8.58,8.58,7.83,7.86,650572,7.9681,4609
1740718800000,7.83,8,7.74,7.97,358307,7.912,3871
1740978000000,7.91,8.02,7.48,7.56,732357,7.6324,4222
1741064400000,7.5,7.555,7.09,7.26,1249269.0,7.2508,5833
1741150800000,7.23,7.4,7.09,7.36,849664,7.3158,3781
1741237200000,7.28,7.47,7.12,7.17,804075,7.2028,3508
1741323600000,7.16,7.33,7.12,7.19,533131,7.1997,2842
1741579200000,7.09,7.178,6.815,6.91,1419356.0,6.9204,2360
1741665600000,6.92,7.285,6.92,7.21,316064,7.1572,3116
1741752000000,7.3,7.38,7.14,7.34,222971,7.3351,2191
1741838400000,7.32,7.36,7.14,7.17,504662,7.1999,1823
1741924800000,7.29,7.52,7.29,7.46,241208,7.4574,2348
1742184000000,7.45,7.62,7.43,7.48,594951,7.4776,2621
1742270400000,7.5,7.52,7.4,7.42,518986,7.4235,1938
1742356800000,7.42,7.575,7.34,7.53,245436,7.51,2285
1742443200000,7.4,7.67,7.34,7.64,467981,7.5403,3731
1742529600000,7.6,7.62,7.485,7.56,273764,7.5598,2535
1742788800000,7.66,7.89,7.56,7.86,322598,7.8291,2966
1742875200000,7.88,8.04,7.88,7.99,308027,7.9916,2556
1742961600000,8.05,8.13,7.75,7.79,224368,7.8752,2301
1743048000000,7.79,7.79,7.56,7.64,169001,7.6294,1718
1743134400000,7.67,7.695,7.56,7.67,177905,7.6489,1690
1743393600000,7.64,7.82,7.22,7.73,321095,7.7294,2817
1743480000000,7.69,7.9,7.6,7.89,255245,7.8312,2267
1743566400000,7.84,8.19,7.82,8.16,312519,8.1116,2841
1743652800000,7.82,8.01,7.505,7.53,463991,7.6522,4063
1743739200000,7.22,7.22,6.48,6.52,536618,6.5926,5051
1743998400000,6.4,6.8,6.18,6.66,339571,6.5316,2783
1744084800000,6.96,6.96,6.26,6.41,386747,6.5622,3283
1744171200000,6.34,7.17,6.25,7.08,557229,6.8485,6008
1744257600000,6.89,6.89,6.325,6.42,395114,6.4618,4985
1744344000000,6.5,6.55,6.29,6.54,215563,6.4398,3148
1744603200000,6.71,6.74,6.48,6.54,516818,6.5396,3093
1744689600000,6.56,6.87,6.54,6.78,710070,6.7721,2556
1744776000000,6.76,6.83,6.6,6.71,452656,6.6832,2945
1744862400000,6.76,6.83,6.715,6.73,306778,6.7627,3022
1745208000000,6.68,6.68,6.39,6.43,217302,6.4424,1597
1745294400000,6.54,6.59,6.44,6.47,196604,6.4913,1752
1745380800000,6.57,6.57,6.36,6.41,190583,6.4403,3140
1745467200000,6.48,6.75,6.48,6.63,228689,6.6649,2115
1745553600000,6.58,6.67,6.53,6.66,293344,6.6319,3162
1745812800000,6.68,6.69,6.49,6.53,393304,6.5364,2315
1745899200000,6.55,6.75,6.46,6.66,330066,6.6633,2694
1745985600000,6.58,6.58,6.42,6.55,617578,6.5085,4610
1746072000000,6.56,6.79,6.56,6.69,293578,6.6983,2384
1746158400000,6.74,6.91,6.73,6.76,311930,6.7714,2782
1746417600000,6.72,6.72,6.56,6.59,260864,6.6117,2551
1746504000000,6.66,6.79,6.62,6.66,204606,6.6983,2246
1746590400000,6.84,6.875,6.655,6.81,264889,6.8177,2494
1746676800000,7,7,6.46,6.79,234787,6.741,2696
1746763200000,6.82,7.04,6.775,6.83,678574,6.8612,3583
1747022400000,7.14,7.345,7.015,7.17,1025056.0,7.1467,4859
1747108800000,7.26,7.315,7.141,7.27,552781,7.2638,3543
1747195200000,7.21,7.3499,7.125,7.19,870513,7.184,2895
1747281600000,7.12,7.19,7.01,7.14,594314,7.1357,2397
1747368000000,7.18,7.23,7.045,7.1,432578,7.0989,2803
1747627200000,6.99,7.275,6.91,7.18,270921,7.1662,2634
1747713600000,7.13,7.21,7.07,7.07,172903,7.1066,1819
1747800000000,7.02,7.11,6.87,6.88,1378762.0,6.8846,2166
1747886400000,6.87,6.91,6.7401,6.85,403684,6.8681,2128
1747972800000,6.76,7.06,6.76,7.05,199443,6.9879,2230
1748318400000,7.25,7.4,7.03,7.2,319418,7.179,2035
1748404800000,7.25,7.3646,7.16,7.22,230712,7.2579,1892
1748491200000,7.25,7.27,7.16,7.18,160718,7.1973,1854
1748577600000,7.14,7.14,6.95,7.03,148780,7.0386,1598
1748836800000,7.14,7.25,6.99,7.18,261501,7.1638,2324
1748923200000,7.17,7.53,7.16,7.49,318094,7.4478,2940
1749009600000,7.51,7.56,7.36,7.43,296515,7.429,2764
1749096000000,7.52,7.52,7.29,7.39,205961,7.3604,2939
1749182400000,7.45,7.63,7.45,7.58,313270,7.5697,2187
1749441600000,7.61,7.79,7.59,7.71,601880,7.6993,2380
1749528000000,7.77,7.77,7.63,7.72,360167,7.7091,2458
1749614400000,7.78,7.82,7.71,7.81,199897,7.7799,2051
1749700800000,7.72,7.83,7.66,7.83,242970,7.8007,2335
1749787200000,7.88,7.94,7.745,7.94,403439,7.9096,2372
1750046400000,7.94,7.98,7.825,7.87,234023,7.8803,2593
1750132800000,7.89,8.095,7.89,7.91,184669,7.9514,2497
