timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,1.75,1.7876,1.64,1.65,37363,1.7086,486
1735880400000,1.674,1.93,1.674,1.8638,41486,1.8288,248
1736139600000,2.04,2.31,1.954,2.24,347624,2.2143,2101
1736226000000,2.05,2.1907,1.81,2.17,76739,2.0285,611
1736312400000,2.01,2.01,1.75,1.75,50475,1.8901,360
1736485200000,1.73,1.9281,1.73,1.78,31636,1.8246,406
1736744400000,1.73,1.78,1.64,1.67,30211,1.695,377
1736830800000,1.67,1.6862,1.6,1.6,15249,1.6224,158
1736917200000,1.54,1.7,1.54,1.62,9409,1.6201,197
1737003600000,1.59,1.71,1.59,1.626,44361,1.679,1394
1737090000000,1.69,1.715,1.55,1.57,12269,1.6034,286
1737435600000,1.54,1.6,1.42,1.45,20443,1.4949,412
1737522000000,1.46,1.48,1.395,1.47,23785,1.5248,251
1737608400000,1.45,1.5,1.39,1.48,9843,1.4625,203
1737694800000,1.44,1.51,1.4103,1.49,14531,1.4512,114
1737954000000,1.43,1.49,1.4186,1.49,11297,1.4485,74
1738040400000,1.49,1.5099,1.465,1.4835,2400,1.4794,39
1738126800000,1.45,1.52,1.4,1.495,9866,1.4827,87
1738213200000,1.59,1.59,1.4364,1.45,4002,1.5017,38
1738299600000,1.45,1.5488,1.45,1.49,2601,1.4827,49
1738558800000,1.4808,1.4892,1.39,1.39,11074,1.4205,71
1738645200000,1.35,1.42,1.35,1.42,5952,1.4014,62
1738731600000,1.43,1.43,1.36,1.39,3281,1.3895,67
1738818000000,1.3717,1.3718,1.32,1.33,8971,1.342,44
1738904400000,1.325,1.37,1.28,1.32,20812,1.3251,135
1739163600000,1.32,1.3599,1.26,1.266,9266,1.3265,78
1739250000000,1.29,1.29,1.29,1.29,167,1.3034,16
1739336400000,1.3,1.3405,1.27,1.27,1090,1.296,66
1739422800000,1.26,1.27,1.22,1.24,14509,1.2376,55
1739509200000,1.3805,1.3884,1.24,1.24,10178,1.3444,66
1739854800000,1.2527,1.39,1.2526,1.3125,7854,1.3341,64
1739941200000,1.33,1.3317,1.29,1.3317,3441,1.3345,54
1740027600000,1.29,1.36,1.2,1.2766,13281,1.2954,86
1740114000000,1.3498,1.3683,1.2101,1.27,13744,1.2865,63
1740373200000,1.24,1.2413,1.19,1.19,12908,1.2129,72
1740459600000,1.1968,1.2892,1.1968,1.28,3617,1.2638,41
1740546000000,1.29,1.3599,1.2533,1.34,5547,1.3182,39
1740632400000,1.2711,1.2794,1.27,1.27,1788,1.2746,35
1740718800000,1.26,1.26,1.1101,1.13,16068,1.1829,105
1740978000000,1.17,1.17,0.9451,1.03,20239,1.0925,113
1741064400000,1.07,1.2667,0.955,1.13,2979,1.0974,77
1741150800000,1.2183,1.22,1.05,1.1192,3855,1.1333,49
1741237200000,1.1999,1.1999,1.05,1.09,5167,1.1161,132
1741323600000,1.15,1.18,1.09,1.09,3595,1.1582,44
1741579200000,1.07,1.1409,1.06,1.112,5944,1.0951,28
1741665600000,1.1139,1.1194,1.06,1.1,2728,1.0793,40
1741752000000,1.06,1.1736,0.9336,1.1736,17133,1.1063,121
1741838400000,1.1001,1.22,1.1,1.22,7218,1.1557,52
1741924800000,1.23,1.23,1.155,1.155,4980,1.1929,71
1742184000000,1.117,1.2387,1.09,1.2387,2399,1.1307,109
