timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,24.35,24.35,17.84,19.89,12854,21.0495,215
1735880400000,21.68,24.51,20.99,24.15,10556,23.7094,980
1736139600000,24.5,26.5,24.5,25,10912,25.7106,629
1736226000000,24.8,26.35,24,26,14949,25.3202,472
1736312400000,25.4,26.15,24.05,24.05,6013,25.2696,198
1736485200000,25.35,25.35,24.4,24.4,833,24.7772,178
1736744400000,24.4,24.48,24.4,24.48,892,24.6543,102
1736830800000,24.1,25.85,23.21,24.3,7262,25.0039,394
1736917200000,24.55,24.55,24.55,24.55,736,24.3442,31
1737003600000,23.9,24.1982,23.8,24.1982,1942,23.9662,65
1737090000000,23.75,24.31,23.4,23.69,6465,23.9532,277
1737435600000,24,24.1,24,24.1,1285,24.0093,22
1737522000000,23.4,24.1499,23.4,24.1499,3391,23.8565,227
1737608400000,24.45,24.65,22.7,24.65,4698,23.9973,178
1737694800000,25.41,25.41,25.41,25.41,366,24.9686,23
1737954000000,24.4,24.4,24.168,24.17,1337,24.7081,96
1738040400000,25.39,25.96,25.25,25.94,3525,25.4855,54
1738126800000,24.28,25.24,23.64,23.64,3668,24.2806,61
1738213200000,24.27,24.79,24,24.79,3925,24.1606,163
1738299600000,23.73,23.73,22.5,22.9081,3042,23.3698,134
1738558800000,22.35,22.35,20.4,20.65,2888,21.5962,60
1738645200000,21.0001,21.75,20.76,20.76,1545,21.142,20
1738731600000,21.5719,22.0447,20.9688,20.9688,2964,21.6511,38
1738818000000,21,23.85,20.25,20.75,33788,21.7035,378
1738904400000,20.97,20.98,19,19,7047,19.7763,97
1739163600000,19.33,19.33,15.24,16.8415,25323,16.7842,223
1739250000000,16.57,16.57,15.0001,15.44,9393,15.5677,119
1739336400000,15.5,16.3,15.009,15.55,11900,15.6954,110
1739422800000,15.5,15.7,15,15.1722,10743,15.3933,228
1739509200000,15.05,15.05,14.37,14.37,4248,14.6619,91
1739854800000,14.25,14.25,12.77,13.0697,9892,13.6335,172
1739941200000,13.3,13.65,12.75,12.75,13806,13.0777,146
1740027600000,12.75,13.25,12.75,13,11486,13.0677,102
1740114000000,13,13,12.49,12.55,27694,12.5563,166
