timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,134,136,120.82,133.2,38.305,132.3396,72
1735880400000,134.4,134.4,133.02,133.02,12.565,134.0236,23
1736139600000,130,138,130,136.5,28.15,135.343,45
1736226000000,138,169.02,138,154,188.415,151.3146,148
1736312400000,150.9,156,144.0002,146,109.355,151.552,93
1736485200000,148,156.17,140,147.98,156.52,150.7008,85
1736744400000,160,160.186,148.2,151.1002,89.43,152.4573,74
1736830800000,136,151.2,136,150,18.73,139.7393,23
1736917200000,146.02,146.02,136,144,10.29,141.3663,12
1737003600000,143.1,148,136.1,136.32,87.775,140.2391,49
1737090000000,142.9,142.9,137.02,142,20.83,143.4473,26
1737435600000,142,142,136,139.78,66.37,137.29,66
1737522000000,141.8,142.3462,136,138,43.065,139.5381,34
1737608400000,138.64,151,138.64,145.88,128.13,146.4404,87
1737694800000,145.8,152,145.8,149.02,36.675,148.9785,28
1737954000000,150,154,147.02,152,48.825,150.8431,53
1738040400000,153,162,152,158,307.49,165.3158,129
1738126800000,153.2,160,122,140,16313.85,178.5718,20244
1738213200000,130.2,135.5998,122.6,134,729.48,126.1807,588
1738299600000,128,128.2002,120,121.5098,291.26,125.7025,272
1738558800000,116,164,116,146.6,939.4,137.6185,568
1738645200000,142.2,159.8,128.72,159.8,309.46,148.8697,203
1738731600000,154.2,158.52,143.06,157.8,134.725,153.2724,195
1738818000000,155.8,156,143.48,155.7,83.255,152.2486,79
1738904400000,147.2002,155.7,146,153.94,135.165,149.749,96
1739163600000,144.34,152.24,137.4,152.24,52.945,142.7893,35
1739250000000,150,152,138.78,151.98,22.38,145.3931,42
1739336400000,135.3,138.1,135.3,138.1,292.35,158.6159,150
1739422800000,140.62,152,138,144,804.345,151.7166,504
1739509200000,143.82,150,140,149.8,72.025,142.8734,58
1739854800000,136,148,136,138.6,218.26,141.6572,1288
1739941200000,147.18,147.68,138,145.1,82.625,144.3994,82
1740027600000,156,156,140.28,150,86.425,142.6158,91
1740114000000,150,150,140.02,150,42.485,144.6815,31
1740373200000,140.44,145.0602,136,143,34.46,139.6477,37
1740459600000,139,150,136,139.46,125.455,139.5371,751
1740546000000,140.9802,147.98,134.02,139.94,148.46,138.8442,1079
1740632400000,139.8,148,138,148,7.91,140.2604,26
1740718800000,132,142,132,142,8.24,133.535,17
1741064400000,140,145.64,132,132.4,119.56,137.2074,1882
1741150800000,139.02,147.6,132.6,140.6,97.37,138.7058,1307
1741237200000,144,145.6,133.28,143.9998,35,140.0899,545
1741323600000,133.3,144,133.3,136,37.135,140.7982,39
1741579200000,137.5,139.8,133.3,134.72,32.7,135.5596,34
1741665600000,133.42,146,133.3,134,24.54,135.8823,61
1741752000000,139.8,146,133.6,133.6,6.975,138.5461,138
1741838400000,133.6,142,133.3,133.3,8.585,138.97,19
1741924800000,142,142,133.22,133.42,16.55,134.6018,23
1742184000000,133.3,139.8,133,133,15.435,135.8011,23
1742270400000,133,139.98,130,133.52,29.4,132.2941,29
1742356800000,130,134,124,124,31.03,130.7111,39
1742443200000,123.52,124,123.52,124,6.64,123.9212,21
1742529600000,124,124,118.8,121.44,45.12,119.8124,35
1742788800000,118.8,124,118.8,118.8,31.78,120.23,41
1742875200000,118.9,148,118.9,131.9998,327.505,131.0926,222
1742961600000,126,146,120,124.2,2488.345,131.3727,987
1743048000000,126,152,122,133.95,6114.465,134.6854,3362
1743134400000,130.72,132.88,118.8,127.48,544.46,127.5888,631
1743393600000,118.8,128.12,106.08,111.98,2141.43,115.437,833
1743480000000,110.1,122.2,102.84,113,1459.64,112.6407,1039
1743566400000,109.6,120.1,106,114,928.465,113.0999,755
1743652800000,119.96,119.96,106,110.68,496.875,110.6698,299
1743739200000,116.7766,120,104.02,104.46,157.9,112.8552,240
1743998400000,104,110.12,104,105.22,146.095,109.0229,180
1744084800000,100.38,110,94.2202,104,60.17,101.392,129
1744171200000,94.48,108.06,94.48,104,48.325,104.4862,118
1744257600000,112.7352,112.7352,96.1,100.46,42.36,100.7743,40
1744344000000,106,106.1,100,105,43.345,103.2138,29
1744603200000,102.02,102.9,98,99.38,37.69,101.1349,126
1744689600000,100,106.1,100,105.5,12.305,104.9825,51
1744776000000,102,106.88,100,106.88,20.07,104.6926,16
1744862400000,100,106.7,100,106.7,15.44,104.7202,31
1745208000000,98,103.5,98,98.02,25.48,101.7745,42
1745294400000,98.2,98.52,98.2,98.2,28.95,98.7862,36
1745380800000,96,100,96,96,12.905,98.031,43
1745467200000,97,98.2,94.42,94.42,20.88,96.4803,46
1745553600000,94.5,94.52,94.5,94.52,5.79,95.6188,51
1745812800000,102,102,96,98.73,84.935,102.9821,85
1745899200000,100,108,100,104,25.77,104.3176,39
1745985600000,106.0002,106.0002,101,101,24.975,102.1267,23
1746072000000,101,104.5,101,101.2,9.575,103.1083,18
1746158400000,104,104,101,101.02,45.57,102.5056,4183
1746417600000,103.2,190,101.02,128,53502.91,143.7473,32265
1746504000000,119.9,216,118,145.94,79157.455,173.5961,38409
1746590400000,148,189.82,146,159.06,5747.445,167.4433,2420
1746676800000,167.3,184.46,160.08,175.8,1815.365,176.1747,909
1746763200000,170.52,222,170.4044,220,2554.545,195.4407,1330
1747022400000,220,256,202,256,1983.005,229.8348,1088
1747108800000,236,312,224,290,1638.055,278.2784,1102
1747195200000,284,310,270,292,633.64,292.7873,542
1747281600000,282,302,264,284,402.05,283.508,4104
1747368000000,284,309,266,276,512.425,280.9182,364
1747627200000,270,298,264.4,272,235.275,286.4906,217
1747713600000,276.2,294,262,282,178.95,282.9826,196
1747800000000,288,308,278,306,263.695,297.4558,235
1747886400000,310,364,308,362,465.605,339.9352,394
1747972800000,296,360,282,340,373.585,326.3909,421
1748318400000,334,338.74,284.12,290,365.945,301.0341,269
1748404800000,284.28,302,284.28,300,121.42,296.8683,85
1748491200000,316,316,290.02,294,97.79,295.9202,99
1748577600000,286,286,272,274,40.33,277.0818,58
1748836800000,262,280,262,276,33.45,271.3325,50
1748923200000,270.16,276,270.16,275,9.56,273.7644,78
1749009600000,284,290,270,278,70.275,283.4814,59
1749096000000,266,278,266,272,9.765,272.0844,30
1749182400000,272,280.48,272,274,4.595,275.6446,24
1749441600000,270,300,270,294,30.48,293.1411,44
1749528000000,299.28,299.48,298,299.48,6.015,298.4947,35
1749614400000,291.4158,291.4158,288,290.66,13.41,298.2257,33
1749700800000,294,308,276,299.66,52.115,292.3224,43
1749787200000,250,357,245,338,816.225,317.8167,435
1750046400000,320,320,276,284,317.615,295.1429,314
1750132800000,276,292,266.14,278,37.545,275.618,178
1750219200000,280,292,280,282.2,15.3,284.9072,40
1750392000000,286.8,304,280,290,67.945,292.8839,52
1750651200000,306,308,298,298,39.42,305.7139,63
1750737600000,288,288,244,250.02,1599.68,257.5752,1027
1750824000000,180,184,135.98,139,4336.91,157.5425,2368
1750910400000,39.16,40,32.34,35.7,366377.355,39.4274,95336
1750996800000,58.28,68.86,23.02,26.6,3125011.965,47.0957,657289
1751256000000,27.82,28.32,22,23.1,1543354.47,26.9952,298439
1751342400000,15.28,15.84,12.4,13.4,1183667.805,14.6589,146819
1751428800000,17.62,19.38,15.4,16.4,2059710.195,17.8946,220556
1751515200000,15.8,15.98,14,15.12,243671.645,15.2469,25675
1751860800000,15.12,17,14,16.32,330030.555,15.4643,27189
1751947200000,16.8,18.38,15.9,17.32,1081392.11,17.9979,123113
1752033600000,16.4,16.6,15.54,15.92,221650.045,16.1393,19986
1752120000000,16.6,18,16.1,16.16,211660.535,16.5731,17251
1752206400000,16.84,17.6,16.44,16.68,206266.805,16.8552,16028
1752465600000,16.54,16.54,14,15.34,216601.415,15.597,16294
1752552000000,15.66,16,15,15.32,131430.68,15.4498,11723
1752638400000,15.34,15.4,14,14.7,152150.88,14.8974,14163
1752724800000,12.56,13.18,8,9.4,737710.625,10.4375,85723
1752811200000,7.56,7.9,6.8,7.02,545653.035,7.5432,54404
1753070400000,6.68,7.16,5.5,7.16,1678357.0,8.8407,32295
1753156800000,9.001,10.74,6.81,7.79,6446294.0,9.6419,135946
1753243200000,7.27,7.5,7.01,7.28,345229,7.2194,6589
1753329600000,7.12,7.56,7.08,7.25,244001,7.2876,4204
1753416000000,7.1,7.24,7.04,7.2,170544,7.1155,2695
1753675200000,7.01,7.1903,6.06,6.65,209595,6.7228,3792
1753761600000,6.35,6.55,6.2801,6.3,96236,6.3808,2185
1753848000000,6.23,6.4704,5.8,5.94,137362,6.1454,2241
1753934400000,6.09,6.09,5.5,5.64,127814,5.8136,2360
1754020800000,5.4,5.65,5.1,5.14,115195,5.3332,2515
