timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,1.865,1.95,1.65,1.69,38787,1.8417,150
1735880400000,1.89,1.96,1.61,1.83,34564,1.75,185
1736139600000,1.85,1.85,1.7,1.7901,4183,1.7939,112
1736226000000,1.7,1.96,1.58,1.76,20514,1.7231,90
1736312400000,1.77,1.77,1.6007,1.73,12524,1.6407,75
1736485200000,1.85,1.85,1.7,1.72,14623,1.7792,93
1736744400000,1.66,1.66,1.57,1.63,8560,1.6397,44
1736830800000,1.5948,1.5948,1.5,1.55,11386,1.5288,50
1736917200000,1.51,1.83,1.4,1.74,20399,1.5948,92
1737003600000,1.66,1.7499,1.52,1.7499,954,1.6792,9
1737090000000,1.69,1.74,1.6501,1.73,14014,1.6848,98
1737435600000,1.7,1.73,1.54,1.6834,24406,1.6637,205
1737522000000,1.52,1.69,1.51,1.6,7567,1.5468,38
1737608400000,1.54,1.6071,1.5,1.5301,24381,1.5369,201
1737694800000,1.5,1.64,1.5,1.555,13666,1.5448,66
1737954000000,1.6347,1.6347,1.5,1.51,13359,1.5215,38
1738040400000,1.625,1.625,1.5,1.53,8231,1.5278,47
1738126800000,1.52,1.52,1.51,1.515,12465,1.5187,54
1738213200000,1.52,1.69,1.5,1.58,29056,1.5471,86
1738299600000,1.605,1.63,1.51,1.5772,2421,1.5748,22
1738558800000,1.5,1.53,1.3001,1.51,18609,1.3912,55
1738645200000,1.38,1.54,1.36,1.43,17526,1.4404,130
1738731600000,1.65,1.68,1.5201,1.5599,13965,1.5862,63
1738818000000,1.66,1.69,1.66,1.6899,831,1.6726,13
1738904400000,1.5,1.59,1.5,1.5047,3031,1.5312,34
1739163600000,1.5,1.54,1.2,1.3603,46255,1.3734,160
1739250000000,1.4,1.45,1.25,1.25,4057,1.3161,47
1739336400000,1.26,1.28,1.2373,1.27,9591,1.2511,65
1739422800000,1.2,1.25,1.14,1.2201,20470,1.2134,58
1739509200000,1.18,1.34,1.18,1.295,2795,1.2812,20
1739854800000,1.27,1.32,1.08,1.175,13248,1.2123,87
1739941200000,1.18,1.2492,1.1,1.2,23487,1.172,44
1740027600000,1.2,1.3,1.0902,1.13,10447,1.1745,43
1740114000000,1.15,1.155,1,1.09,44829,1.0494,189
1740373200000,1.08,1.08,0.92,1,16008,0.9508,64
1740459600000,0.932,0.9502,0.7635,0.9502,14949,0.9016,42
1740546000000,0.84,1.2,0.825,1.0999,14920,1.0288,95
1740632400000,1.1,1.23,1.095,1.12,18715,1.127,67
1740718800000,1.14,1.15,1.05,1.05,6800,1.1097,29
1740978000000,1.035,1.035,0.8887,0.9163,11296,0.9926,38
1741064400000,1.04,1.1304,0.89,0.97,10604,1.0001,78
1741150800000,1.1052,1.1052,0.91,0.92,3610,1.011,25
1741237200000,0.906,1.19,0.9,0.94,12418,0.9551,44
1741323600000,1.01,1.01,1.01,1.01,618,1.009,7
1741579200000,0.87,0.9599,0.792,0.949999,9146,0.8502,34
1741665600000,0.85,0.989999,0.85,0.92,1174,0.9242,15
1741752000000,0.835001,0.91,0.8102,0.91,7213,0.8814,49
1741838400000,0.6906,0.92,0.6906,0.88,4163,0.8195,14
1741924800000,0.771,0.9,0.771,0.89,13050,0.8669,33
1742184000000,0.8201,1.01,0.82,0.95,2108,0.8953,20
1742270400000,0.8825,1.02,0.8825,0.9873,6537,0.9628,47
1742356800000,0.92,1,0.91,0.98,11478,0.9378,56
1742443200000,0.965,0.969899,0.88,0.8999,11180,0.9093,56
1742529600000,0.865,0.92,0.8101,0.905,3764,0.8661,35
1742788800000,0.6084,0.9899,0.51,0.9,13084,0.6712,53
1742875200000,0.75,0.9,0.69,0.86,69437,0.7559,98
1742961600000,0.649,0.649,0.4006,0.4666,106111,0.4662,310
1743048000000,0.547,0.55,0.431,0.5122,43799,0.488,224
1743134400000,0.53,0.53,0.4136,0.49,10769,0.466,80
1743393600000,0.47,0.47,0.3649,0.37,63810,0.3976,89
1743480000000,0.435,0.435,0.31,0.38,19624,0.3735,70
1743566400000,0.35,0.38005,0.3206,0.37,96446,0.3312,94
1743652800000,0.3205,0.3205,0.2653,0.32,30404,0.3128,75
1743739200000,0.32,0.35,0.2201,0.28,27429,0.284,74
1743998400000,0.24,0.349,0.21,0.302,28470,0.2308,48
1744084800000,0.301999,0.301999,0.1705,0.2384,39821,0.2008,119
1744171200000,0.23,0.43,0.2055,0.4,125367,0.2956,273
1744257600000,0.385001,0.44,0.38,0.42,29662,0.4114,99
1744344000000,0.45,0.45,0.4167,0.4167,1043,0.427,64
1744603200000,0.35,0.39,0.3499,0.3675,3652,0.3513,27
1744689600000,0.4,0.4,0.39,0.39,2528,0.3966,18
1744776000000,0.35,0.35,0.320101,0.33,2628,0.3275,9
1744862400000,0.324999,0.41,0.32,0.397,39570,0.3451,83
1745208000000,0.4,0.43,0.302,0.31,24520,0.3911,58
1745294400000,0.3475,0.3475,0.3,0.3455,3375,0.3321,20
1745380800000,0.323999,0.4,0.323999,0.34,22582,0.3516,34
1745467200000,0.3795,0.41,0.33,0.41,2956,0.3665,19
1745553600000,0.331,0.3999,0.28,0.3001,64609,0.3118,116
1745812800000,0.36,0.36,0.32,0.347,732,0.3368,11
1745899200000,0.34,0.347,0.299,0.34,5051,0.3235,16
1745985600000,0.34,0.34,0.29,0.34,987,0.3194,10
1746072000000,0.34,0.3444,0.3387,0.3444,7251,0.3403,7
1746158400000,0.350001,0.39,0.31,0.3101,1449,0.3445,13
1746417600000,0.3535,0.3535,0.313,0.313,752,0.3271,4
1746504000000,0.28,0.32,0.2405,0.32,3539,0.258,16
1746590400000,0.32,0.35,0.29,0.339999,10170,0.3088,40
1746676800000,0.34,0.38,0.2427,0.274999,11712,0.2821,56
1746763200000,0.3,0.3,0.3,0.3,205,0.2967,6
1747022400000,0.3,0.316799,0.2437,0.316799,15589,0.2881,64
1747108800000,0.32,0.46,0.3,0.429949,28250,0.3846,111
1747195200000,0.49,0.65,0.4508,0.5479,92092,0.5393,285
1747281600000,0.5,0.5,0.45,0.4896,25660,0.4812,74
1747368000000,0.4999,0.57,0.4701,0.55,31057,0.5111,46
1747627200000,0.5,0.5,0.45,0.450001,30675,0.4936,60
1747713600000,0.4992,0.527,0.4762,0.5199,28927,0.4964,61
1747800000000,0.471001,0.5195,0.43,0.481,39273,0.4938,63
1747886400000,0.509999,0.57,0.400001,0.523,78870,0.494,89
1747972800000,0.53,0.55,0.5,0.5499,24490,0.5241,22
1748318400000,0.55,0.5928,0.5204,0.5575,67597,0.5525,105
1748404800000,0.5,0.539999,0.4,0.511,50793,0.4653,161
1748491200000,0.5389,0.5399,0.5,0.535,11193,0.5314,39
1748577600000,0.5398,0.5398,0.46,0.5398,6677,0.5175,42
1748836800000,0.54,0.54,0.509999,0.54,1318,0.52,10
1748923200000,0.539,0.55,0.5,0.53,12620,0.5226,23
1749009600000,0.55,0.55,0.5,0.55,7664,0.5249,20
1749096000000,0.5498,0.55,0.53,0.55,7739,0.5462,26
1749182400000,0.56,0.6,0.56,0.6,8939,0.5824,43
1749441600000,0.6,0.6,0.58,0.589999,35910,0.5984,29
1749528000000,0.5499,0.6,0.5499,0.6,9979,0.604,52
1749614400000,0.5769,0.6,0.5769,0.6,3275,0.5864,12
1749700800000,0.59,0.6,0.5499,0.59,33386,0.5894,31
1749787200000,0.58,0.58,0.431001,0.5562,8024,0.5162,75
1750046400000,0.5555,0.5823,0.5,0.57,2516,0.5368,25
1750132800000,0.51,0.57,0.450001,0.57,16455,0.4956,40
1750219200000,0.5176,0.52,0.509,0.51,4675,0.5142,18
1750392000000,0.5001,0.5234,0.480799,0.49,11076,0.5173,28
1750737600000,0.4812,0.484,0.4151,0.422,29283,0.4422,172
1750824000000,0.415,0.4401,0.415,0.4308,1989,0.4339,9
1750910400000,0.4,0.4399,0.3,0.42,34711,0.3655,193
1750996800000,0.36,0.41,0.36,0.41,1502,0.3838,15
1751256000000,0.34,0.399999,0.34,0.399999,623,0.3753,9
1751342400000,0.3501,0.42,0.3501,0.42,10983,0.4019,63
1751428800000,0.42,0.5,0.39,0.4402,12454,0.4272,44
1751515200000,0.445,0.445,0.401,0.401,1673,0.4218,12
1751860800000,0.4264,0.43,0.3658,0.4279,2028,0.4187,13
1751947200000,0.4699,0.53,0.41,0.4969,26001,0.4812,80
1752033600000,0.55,0.55,0.42,0.497999,14418,0.4851,51
1752120000000,0.4001,0.52,0.4001,0.51,1160,0.4669,10
1752206400000,0.4778,0.5,0.4778,0.5,400,0.4945,3
1752465600000,0.5,0.564,0.4522,0.564,29587,0.4896,93
1752552000000,0.481,0.6,0.4701,0.5,5388,0.4866,23
1752638400000,0.5001,0.5001,0.5001,0.5001,420,0.5001,1
1752724800000,0.56,0.56,0.4711,0.4711,1252,0.5125,10
1752811200000,0.48,0.54,0.48,0.5125,1518,0.5026,10
1753070400000,0.4801,0.51,0.4801,0.51,486,0.5031,6
1753243200000,0.51,0.59,0.495,0.59,35190,0.5375,122
1753329600000,0.55,0.59,0.49,0.55,5496,0.5575,32
1753416000000,0.57,0.57,0.528001,0.5699,2566,0.5532,16
1753675200000,0.58,0.58,0.495,0.514999,8353,0.5345,32
1753761600000,0.4813,0.56,0.44,0.53,7132,0.4715,21
1753848000000,0.48,0.518599,0.48,0.49,1387,0.4919,11
1753934400000,0.5002,0.5185,0.49,0.5184,3670,0.5011,8
1754020800000,0.4931,0.4931,0.49,0.49,9193,0.4921,7
