timestamp,open,high,low,close,volume,vwap,transactions
1744689600000,4.75,6.29,2.5101,3.11,8523313.0,4.2433,48812
1744776000000,2.31,3.17,2.31,2.68,2585907.0,2.7781,13177
1744862400000,2.61,2.635,2.05,2.1,988403,2.2955,4518
1745208000000,2.01,2.02,1.63,1.76,651506,1.8005,2401
1745294400000,1.74,2.05,1.67,1.75,603147,1.8223,2069
1745380800000,1.76,1.8791,1.56,1.7,443365,1.7074,1308
1745467200000,1.7,2.04,1.66,1.98,504570,1.8773,1421
1745553600000,1.88,2.1,1.88,2.07,450582,2.0202,1438
1745812800000,2.1,2.1499,1.76,1.84,225634,1.9071,906
1745899200000,1.85,1.915,1.7,1.75,130299,1.7999,463
1745985600000,1.7715,1.8,1.65,1.7,157916,1.7049,557
1746072000000,1.71,1.75,1.6,1.68,159386,1.647,456
1746158400000,1.645,1.7967,1.645,1.69,136418,1.7009,534
1746417600000,1.64,1.7289,1.6,1.62,77073,1.6353,471
1746504000000,1.59,1.6532,1.59,1.64,52407,1.627,233
1746590400000,1.63,1.69,1.35,1.41,337519,1.5442,899
1746676800000,1.43,1.6485,1.37,1.58,214974,1.4764,721
1746763200000,1.5359,1.7,1.5,1.64,220308,1.6122,567
1747022400000,1.68,1.75,1.61,1.68,112141,1.6645,434
1747108800000,1.658,1.69,1.502,1.52,188532,1.6091,511
1747195200000,1.56,1.59,1.45,1.5,87678,1.5032,267
1747281600000,1.45,1.51,1.37,1.42,125439,1.4215,460
1747368000000,1.4,1.47,1.4,1.45,34002,1.4324,186
1747627200000,1.41,1.5821,1.41,1.44,42892,1.4499,174
1747713600000,1.41,1.51,1.29,1.38,137801,1.373,359
1747800000000,1.34,1.63,1.34,1.39,606281,1.4966,2065
1747886400000,1.33,1.4999,1.32,1.43,104616,1.4019,284
1747972800000,1.44,1.52,1.32,1.36,122155,1.375,480
1748318400000,1.38,1.48,1.38,1.45,89442,1.428,409
1748404800000,1.41,1.68,1.39,1.62,292300,1.5562,704
1748491200000,1.65,1.9,1.585,1.78,294341,1.7628,902
1748577600000,1.8,1.84,1.62,1.67,155947,1.7148,493
1748836800000,1.62,1.94,1.62,1.81,259983,1.8355,816
1748923200000,1.81,1.9499,1.74,1.93,132420,1.8504,404
1749009600000,1.88,2.11,1.65,1.72,625430,1.923,2086
1749096000000,1.66,1.7548,1.59,1.615,159597,1.6555,644
1749182400000,1.58,1.65,1.5,1.56,77836,1.5896,328
1749441600000,1.56,1.61,1.5,1.525,72060,1.5317,232
1749528000000,1.5,1.67,1.41,1.47,204802,1.53,943
1749614400000,1.47,1.5563,1.44,1.51,92676,1.5006,345
1749700800000,1.46,1.5698,1.46,1.49,40366,1.4992,146
1749787200000,1.49,1.52,1.47,1.49,42425,1.4901,204
1750046400000,1.46,1.63,1.365,1.555,106201,1.4799,392
1750132800000,1.525,1.6899,1.48,1.6,162190,1.6088,451
1750219200000,1.66,1.798,1.65,1.72,111694,1.705,436
1750392000000,1.67,1.71,1.61,1.674,44867,1.6498,224
1750651200000,1.62,1.75,1.5926,1.69,81753,1.6812,241
1750737600000,1.6732,1.7199,1.55,1.55,71693,1.6275,418
1750824000000,1.54,1.64,1.54,1.61,27944,1.5839,93
1750910400000,1.58,1.61,1.52,1.566,84814,1.5619,155
1750996800000,1.59,1.6,1.41,1.4993,73029,1.5226,266
1751256000000,1.46,1.55,1.46,1.54,40588,1.4956,164
1751342400000,1.4707,1.5496,1.45,1.52,40820,1.4963,142
1751428800000,1.5199,1.57,1.5,1.5,57413,1.5149,145
1751515200000,1.53,1.53,1.43,1.49,36211,1.4933,173
1751860800000,1.51,1.51,1.4,1.47,75895,1.4547,411
1751947200000,1.431,1.444,1.36,1.415,50261,1.4188,252
1752033600000,1.42,1.5,1.4157,1.4601,39210,1.4604,150
1752120000000,1.5,1.51,1.4,1.5,38230,1.4656,197
1752206400000,1.5,1.5,1.42,1.42,31297,1.4481,146
1752465600000,1.41,1.49,1.4009,1.44,63283,1.4245,297
1752552000000,1.48,1.55,1.4007,1.47,287295,1.4955,1291
1752638400000,1.44,1.52,1.42,1.49,113620,1.4699,371
1752724800000,1.46,1.4799,1.4,1.46,91456,1.43,288
1752811200000,1.4226,1.5,1.41,1.48,59007,1.4446,215
1753070400000,1.43,1.49,1.43,1.45,66119,1.4675,242
1753156800000,1.45,1.48,1.36,1.38,214643,1.422,680
1753243200000,1.395,1.4254,1.33,1.37,141988,1.3818,272
1753329600000,1.37,1.38,1.325,1.37,39876,1.3615,184
1753416000000,1.36,1.4,1.32,1.37,86775,1.3553,191
1753675200000,1.45,1.52,1.42,1.44,69730,1.4482,361
1753761600000,1.5028,1.5028,1.35,1.38,55668,1.4081,208
1753848000000,1.41,1.42,1.36,1.42,53081,1.384,162
1753934400000,1.38,1.4091,1.33,1.35,43199,1.3766,151
1754020800000,1.3391,1.35,1.11,1.24,119118,1.2037,501
