timestamp,open,high,low,close,volume,vwap,transactions
1736139600000,10.62,10.62,10.62,10.62,100,10.62,1
1741064400000,11.6189,12.1,11.6189,12.1,628,11.7172,14
1742184000000,12.32,12.32,11.9,11.9,568,12.1496,7
1746590400000,10.79,10.79,10.79,10.79,100,10.79,1
1747800000000,11.2,11.2,11.2,11.2,135,11.4359,2
1747972800000,10.92,11.29,10.84,10.84,300,11.0167,3
1750132800000,11.67,11.67,11.67,11.67,200,11.3341,4
1750219200000,10.98,11,9.91,11,2786,10.6026,26
1750392000000,12,13.59,12,13,4400,12.7145,61
1750824000000,12.05,12.05,10.7,10.7,300,11.42,3
1750910400000,10.6,14,10.6,12.7,7747,12.4564,177
1750996800000,11.1,11.41,10.7,11.41,608,10.8915,8
1751342400000,10.2,10.2,8.89,9.3,928,9.522,10
1751860800000,7.31,7.6,7.31,7.55,469,7.499,8
1751947200000,10.2,10.2,8.6,8.63,1618,11.75,106
1752033600000,8.79,10.29,8.79,9.53,9823,9.3856,97
1752206400000,10,10,10,10,354,9.9876,5
1752552000000,10.39,12.24,10,11.51,5520,11.0813,111
1752638400000,12.75,12.75,11.5,11.67,977,11.8959,15
1752724800000,11.05,12.16,11.05,12.16,1292,11.6066,8
1752811200000,12.49,12.49,11,11,2243,11.6539,28
1753070400000,11.45,11.6,11.2,11.45,1730,11.4307,40
1753156800000,12.24,12.3,10.73,11,4196,11.542,44
1753243200000,11.7,11.7,11.7,11.7,405,11.7829,8
1753761600000,11,11,11,11,200,10.994,3
