timestamp,open,high,low,close,volume,vwap,transactions
1741838400000,0.14,0.1419,0.14,0.14,1154000.0,0.14,23
1741924800000,0.15,0.15,0.14,0.14,2000,0.141,2
1742184000000,0.14,0.14,0.1,0.11,1161320.0,0.1001,27
1742270400000,0.1,0.11,0.1,0.11,73110,0.1068,3
1742788800000,0.116,0.12,0.116,0.12,3700,0.1194,20
1742875200000,0.1181,0.12,0.1181,0.12,26036,0.12,154
1742961600000,0.12,0.12,0.12,0.12,6036,0.12,8
1743048000000,0.12,0.12,0.12,0.12,31200,0.12,19
1743998400000,0.1101,0.13,0.1,0.13,1049909.0,0.1071,1154
1744257600000,0.13,0.13,0.13,0.13,120000,0.13,2
1744603200000,0.1249,0.1249,0.1249,0.1249,100,0.1249,1
1745467200000,0.1,0.13,0.1,0.12,713100,0.1005,6
1745985600000,0.106,0.106,0.1,0.1,5000,0.1002,3
1746590400000,0.13,0.14,0.13,0.14,9778,0.1301,11
1746676800000,0.138,0.1419,0.138,0.14,166504,0.14,331
1746763200000,0.14,0.14,0.13,0.13,3100,0.1387,5
1747108800000,0.14,0.14,0.13,0.13,6274,0.1396,11
1747195200000,0.14,0.14,0.13,0.13,118722,0.14,6
1747281600000,0.13,0.13,0.13,0.13,1400,0.13,14
1747368000000,0.13,0.1484,0.13,0.1483,1500,0.1414,15
1748577600000,0.13,0.1315,0.13,0.13,400,0.1307,4
1748836800000,0.14,0.14,0.14,0.14,137236,0.14,3
1749096000000,0.15,0.15,0.14,0.1499,65756,0.1421,101
1749528000000,0.15,0.15,0.1301,0.1302,1268,0.1406,13
1749614400000,0.1485,0.15,0.134,0.134,18911,0.1495,36
1749787200000,0.15,0.1525,0.125,0.1525,40300,0.1422,74
1750046400000,0.15,0.15,0.15,0.15,1102,0.1502,14
1750651200000,0.1666,0.17,0.153,0.1593,3000,0.1609,7
1750737600000,0.15,0.1597,0.15,0.1597,5100,0.1502,2
1751342400000,0.15,0.15,0.15,0.15,10209,0.15,1
1751947200000,0.15,0.165,0.145,0.145,120491,0.155,52
1752033600000,0.14,0.14,0.14,0.14,50747,0.14,72
1752120000000,0.1425,0.15,0.1425,0.15,409800,0.1498,13
1752206400000,0.16,0.16,0.15,0.15,800,0.1525,8
1752638400000,0.15,0.15,0.15,0.15,125000,0.15,3
1753070400000,0.1,0.14926,0.1,0.14926,1615,0.1034,3
1753416000000,0.135,0.16,0.135,0.16,359,0.15,5
1753848000000,0.15,0.15,0.134,0.15,50345,0.15,6
