timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,10.08,10.62,9.96,10.13,690891,10.2977,6037
1735880400000,10.17,10.805,10.06,10.58,524731,10.5692,5528
1736139600000,10.69,10.83,10.41,10.41,554261,10.5181,8020
1736226000000,10.43,10.58,10.28,10.57,520198,10.4684,8160
1736312400000,10.49,10.6,10.185,10.44,431583,10.4135,6982
1736485200000,10.44,10.45,10.25,10.41,395872,10.3634,7285
1736744400000,10.42,10.42,10.2401,10.25,321483,10.2747,6216
1736830800000,10.3,10.53,10.23,10.48,298185,10.4078,5687
1736917200000,10.55,10.85,10.55,10.56,382834,10.6917,6141
1737003600000,10.54,10.66,10.38,10.59,333399,10.5261,5647
1737090000000,10.2,10.21,9.7,9.97,1602289.0,9.9823,14571
1737435600000,9.88,10.27,9.86,9.89,837733,10.0477,9796
1737522000000,9.9,10.12,9.61,9.88,582379,9.9055,7050
1737608400000,9.86,10.14,9.86,10.03,532422,10.0299,7892
1737694800000,10,10.31,9.99,10.18,528364,10.2125,7236
1737954000000,10.16,10.465,10.1,10.42,412318,10.3715,5641
1738040400000,10.5,10.6,10.24,10.35,383896,10.3852,5606
1738126800000,10.35,10.55,10.29,10.39,351435,10.4263,4866
1738213200000,10.5,10.89,10.5,10.56,349189,10.6258,5282
1738299600000,10.91,10.91,10.48,10.65,261104,10.6358,4917
1738558800000,10.47,10.99,10.42,10.92,274044,10.8374,4107
1738645200000,10.91,11.08,10.85,10.91,165218,10.9588,3008
1738731600000,10.96,11.15,10.63,10.89,346123,10.9028,4140
1738818000000,10.95,11.59,10.918,11.19,737963,11.2386,7450
1738904400000,11,11.13,10.89,10.94,316013,10.9972,3547
1739163600000,10.9,12.15,10.9,12.01,771237,11.6894,5117
1739250000000,11.63,11.97,11.3,11.79,658873,11.6619,4323
1739336400000,11.76,13.24,11.76,12.91,1628295.0,12.7647,9097
1739422800000,13.25,13.25,12.63,12.79,660771,12.937,4529
1739509200000,12.78,12.91,11.83,12.28,429226,12.2239,5749
1739854800000,12.29,12.34,11.54,11.54,346231,11.7568,5102
1739941200000,11.62,11.62,10.83,10.99,771056,11.028,6486
1740027600000,10.88,11.01,10.68,10.7,346737,10.8155,4632
1740114000000,10.6,10.8484,10.42,10.64,802394,10.623,6375
1740373200000,10.5,10.56,9.89,10.51,509670,10.2518,5112
1740459600000,11,11.24,10.2301,10.88,636874,10.7095,5188
1740546000000,11,11.03,10.735,10.85,531038,10.8772,5346
1740632400000,10.83,10.832,10.245,10.65,397327,10.5334,4050
1740718800000,10.38,10.84,10.375,10.68,419215,10.679,4610
1740978000000,10.73,10.86,10.49,10.49,358943,10.6775,4559
1741064400000,10.29,10.325,9.9,10,269925,10.0665,3572
1741150800000,10.1,10.25,9.77,9.77,266727,9.9111,2890
1741237200000,9.75,9.94,9.3,9.55,598347,9.594,5491
1741323600000,9.39,9.61,8.9,9.56,683820,9.3453,5675
1741579200000,9.36,9.56,8.87,9.11,564499,9.1091,5770
1741665600000,9.13,9.59,8.96,9.59,451947,9.3778,4076
1741752000000,9.48,10.13,9.48,10.12,574776,9.8528,4410
1741838400000,10.34,10.34,9.5,9.95,485414,9.8628,6220
1741924800000,10.03,10.315,9.49,9.67,688155,9.7351,6838
1742184000000,9.61,9.91,9.53,9.76,278050,9.7856,5781
1742270400000,9.71,9.71,9.355,9.59,242979,9.5445,2946
1742356800000,9.59,10.03,9.59,10.03,316171,9.9486,3078
1742443200000,9.87,10.13,9.78,10.06,314380,10.0233,3158
1742529600000,9.97,10.16,9.8201,9.96,269300,9.9817,2391
1742788800000,10.06,10.49,9.95,10.42,346765,10.289,3656
1742875200000,10.39,10.49,9.98,10.13,312814,10.1082,4263
1742961600000,10.1,10.25,9.995,10.09,182736,10.1204,2738
1743048000000,10.06,10.45,9.89,10.35,365609,10.2836,4109
1743134400000,10.28,10.29,9.72,9.91,262528,9.8994,3411
1743393600000,9.74,9.83,9.48,9.76,206610,9.7375,2064
1743480000000,9.76,9.86,9.47,9.79,218307,9.7319,2524
1743566400000,9.62,10.03,9.55,9.69,216869,9.7481,3255
1743652800000,9.29,9.39,8.43,8.47,511817,8.7808,5425
1743739200000,8.1,8.7,7.695,8.5,521961,8.1959,5807
1743998400000,7.71,9.02,7.71,8.16,504584,8.2401,5190
1744084800000,8.39,8.8,7.872,7.94,332876,8.3306,4995
1744171200000,8.03,9.13,7.82,9.04,608717,8.5067,5962
1744257600000,8.77,9.04,8.35,8.71,323063,8.7494,3922
1744344000000,8.88,9.16,8.45,9.12,352646,8.9571,3683
1744603200000,9.17,9.5,8.792392,9,336139,9.1701,3646
1744689600000,8.95,9.03,8.56,8.67,378838,8.7492,3915
1744776000000,8.55,8.73,8.2,8.35,320635,8.4311,4114
1744862400000,8.38,8.6913,8.24,8.54,394513,8.5116,4356
1745208000000,8.38,8.58,8.13,8.39,369822,8.3375,3003
1745294400000,8.57,8.78,8.43,8.72,430785,8.6583,4451
1745380800000,9.17,9.41,8.717,8.88,299646,8.955,3417
1745467200000,8.87,9.23,8.87,9.21,158346,9.1123,2909
