timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,9.2,9.32,8.8,8.9,256255,8.9742,4423
1735880400000,8.96,9.04,8.83,9,145882,8.9578,2596
1736139600000,9.06,9.27,8.8,8.8,198201,8.9671,3262
1736226000000,8.82,8.93,8.665,8.71,322096,8.7318,3869
1736312400000,8.67,8.75,8.47,8.63,255668,8.6114,4127
1736485200000,8.45,8.59,8.3047,8.4,232017,8.407,3315
1736744400000,8.33,8.87,8.33,8.84,217357,8.6935,3486
1736830800000,8.94,9.059,8.705,8.95,177572,8.8919,3403
1736917200000,9.23,9.29,9.04,9.18,195349,9.1514,3817
1737003600000,9.15,9.2425,9.06,9.14,153462,9.149,3096
1737090000000,9.29,9.39,9.19,9.28,174449,9.265,3074
1737435600000,9.45,9.575,9.34,9.55,272014,9.4483,4869
1737522000000,9.52,9.57,9.37,9.42,348039,9.4495,3882
1737608400000,9.41,9.98,9.41,9.97,278069,9.8695,5165
1737694800000,9.93,10.19,9.92,9.97,264290,10.0203,4203
1737954000000,9.95,10.15,9.93,9.99,290351,10.0268,4618
1738040400000,9.96,9.96,9.66,9.71,165438,9.7617,3336
1738126800000,9.75,9.94,9.64,9.75,170062,9.7678,3252
1738213200000,9.87,10.3199,9.85,10.06,201784,10.1417,4129
1738299600000,9.96,10.1509,9.84,9.99,242904,9.9832,4411
1738558800000,9.69,9.69,9.2763,9.4,284807,9.4317,4207
1738645200000,9.44,9.8,9.402,9.79,278589,9.6575,4825
1738731600000,9.86,9.93,9.58,9.72,167699,9.7159,3553
1738818000000,9.81,9.85,9.68,9.76,213879,9.765,3850
1738904400000,9.75,9.84,9.61,9.74,201570,9.7196,3509
1739163600000,9.78,9.9907,9.675,9.91,319400,9.8672,4504
1739250000000,9.88,10.21,9.85,9.97,324523,10.0173,5339
1739336400000,9.87,9.9,9.63,9.77,388157,9.7718,4449
1739422800000,10.33,12.125,10.31,10.9,1144732.0,11.1779,12588
1739509200000,11.04,11.31,10.68,11.04,701482,11.0289,7781
1739854800000,11.03,11.71,10.8,11.68,601276,11.4851,6930
1739941200000,11.49,12.195,11.39,12.16,371915,11.9008,6803
1740027600000,12.03,12.075,11.44,11.77,275800,11.6874,4883
1740114000000,11.91,11.91,10.735,10.78,329914,11.0027,4669
1740373200000,10.8,10.867,10.59,10.63,265096,10.6826,4847
1740459600000,10.75,10.905,10.55,10.76,372838,10.7727,5935
1740546000000,10.72,10.92,10.52,10.53,301174,10.6646,5267
1740632400000,10.51,10.695,10.323714,10.44,245221,10.4331,5531
1740718800000,10.38,10.51,10.23,10.35,223075,10.3479,3298
1740978000000,10.39,10.452,9.51,9.53,276254,9.7462,4315
1741064400000,9.29,9.49,8.9,9.43,454578,9.3223,6330
1741150800000,9.51,9.66,9.265,9.65,265340,9.5186,4152
1741237200000,9.45,10.06,9.39,9.95,233629,9.8835,4232
1741323600000,9.92,10.108,9.8,9.96,191473,9.9265,3707
1741579200000,9.71,9.9,9.53,9.62,213783,9.686,4205
1741665600000,9.59,9.64,9.375,9.6,275439,9.5315,4386
1741752000000,9.69,9.69,9.34,9.48,154300,9.465,2843
1741838400000,9.5,9.63,9.18,9.27,151252,9.3451,2859
1741924800000,9.4,9.56,9.27,9.51,184127,9.4799,3311
1742184000000,9.53,9.59,9.39,9.56,167711,9.5116,3046
1742270400000,9.43,9.67,9.43,9.62,198474,9.5886,4156
1742356800000,9.68,9.79,9.4801,9.7,230385,9.6938,3986
1742443200000,9.5,9.84,9.5,9.69,180038,9.7139,4299
1742529600000,9.48,9.535,9.2068,9.33,390764,9.3399,4129
1742788800000,9.56,9.74,9.5276,9.71,160453,9.6675,3284
1742875200000,9.71,9.79,9.51,9.54,153691,9.6065,3227
1742961600000,9.53,9.7,9.4,9.46,128911,9.4827,3760
1743048000000,9.43,9.49,9.25,9.43,129322,9.4007,2884
1743134400000,9.33,9.405,8.82,8.89,171931,8.95,3320
1743393600000,8.75,8.7937,8.485,8.59,212736,8.5986,3424
1743480000000,8.5,8.75,8.41,8.71,154914,8.6545,3746
1743566400000,8.52,8.95,8.41,8.94,175324,8.8636,3467
1743652800000,8.32,8.42,8.045,8.05,405198,8.1367,4749
1743739200000,7.69,7.885,7.28,7.83,430813,7.6383,6025
1743998400000,7.41,8.1,7.18,7.42,446774,7.4687,6156
1744084800000,7.79,7.836,7.17,7.24,396092,7.3885,5535
1744171200000,7.16,8.2,7.06,8.07,446270,7.7316,6678
1744257600000,7.84,7.9,7.425,7.6,223648,7.6128,4007
1744344000000,7.52,7.68,7.3,7.67,202983,7.5682,3810
1744603200000,7.83,7.83,7.47,7.51,241439,7.5603,3558
1744689600000,7.43,7.62,7.425,7.51,229460,7.5216,4170
1744776000000,7.41,7.505,7.28,7.48,328691,7.415,4572
1744862400000,7.44,7.64,7.35,7.59,314149,7.5565,3881
1745208000000,7.51,7.53,7.3,7.39,216174,7.374,3097
1745294400000,7.53,7.61,7.26,7.57,328675,7.5182,5262
1745380800000,7.93,8.24,7.71,7.72,269166,7.8694,4509
1745467200000,7.72,8.125,7.7,8.06,279804,8.0224,4528
1745553600000,7.97,8.08,7.86,8.07,195667,8.0073,4458
1745812800000,8.06,8.22,7.87,8,166470,8.0013,4179
1745899200000,7.94,8.1,7.875,8.04,295796,8.0142,5216
1745985600000,7.91,7.965,7.76,7.88,311587,7.8813,4301
1746072000000,7.9,8.2758,7.84,8.14,355322,8.1467,5775
1746158400000,8.34,8.57,8.27,8.5,378577,8.4924,5725
1746417600000,8.32,8.61,8.32,8.45,255667,8.5162,4127
1746504000000,8.21,8.475,8.21,8.34,271846,8.3479,4483
1746590400000,7.86,8.78,7.58,8.56,339417,8.4628,4917
1746676800000,8.82,10.05,8.725,9.82,651990,9.6282,6190
1746763200000,9.91,10.18,9.77,10.08,552122,9.9814,7461
1747022400000,10.74,11.12,10.68,11.02,547923,10.9628,7138
1747108800000,11.29,11.57,11.05,11.39,341465,11.4314,4957
1747195200000,11.28,11.45,11.2,11.31,324896,11.3587,5220
1747281600000,11.22,11.64,11.22,11.52,352052,11.4842,4798
1747368000000,11.59,11.815,11.56,11.76,349879,11.7083,4411
1747627200000,11.52,11.65,11.47,11.58,284106,11.5608,5041
1747713600000,11.59,11.77,11.37,11.45,239383,11.4943,4627
1747800000000,11.21,11.372,10.63,10.68,334791,10.8263,5125
1747886400000,10.67,10.725,10.53,10.56,168766,10.6241,3845
1747972800000,10.34,10.44,10.26,10.33,204885,10.3574,2968
1748318400000,10.62,11,10.455,10.92,198299,10.8914,4272
1748404800000,10.87,10.885,10.7,10.78,146167,10.7785,2950
1748491200000,10.9,10.945,10.66,10.84,118619,10.8288,2532
1748577600000,10.79,10.79,10.5,10.51,140720,10.5834,2775
1748836800000,10.59,10.59,10.28,10.36,265767,10.3929,4752
1748923200000,10.45,10.9,10.425,10.78,229493,10.7939,3366
1749009600000,10.9,10.9,10.705,10.74,133144,10.7564,3107
1749096000000,10.75,10.935,10.67,10.84,129514,10.8328,2647
1749182400000,11.12,11.33,10.96,10.98,142092,11.0366,3214
1749441600000,11.1,11.39,11.0824,11.26,172906,11.2882,3455
1749528000000,11.32,11.5101,11.05,11.41,201624,11.3813,4739
1749614400000,11.47,11.54,11.395,11.47,166844,11.4802,3659
1749700800000,11.46,11.505,11.2,11.45,199492,11.4163,3762
1749787200000,11.2,11.355,11.15,11.2,244361,11.2241,4649
1750046400000,11.38,11.64,11.34,11.44,249469,11.4899,6081
1750132800000,11.27,11.57,11.27,11.35,190756,11.4329,4861
1750219200000,11.31,11.56,11.275,11.3,166116,11.3908,4141
1750392000000,11.42,11.53,11.265,11.32,616360,11.3257,3564
1750651200000,11.2,11.435,10.98,11.42,270498,11.2977,5130
1750737600000,11.53,11.92,11.46,11.85,218535,11.8252,3337
1750824000000,11.77,11.84,11.59,11.69,242762,11.6884,4306
1750910400000,11.74,12.28,11.74,12.24,247046,12.1282,5005
1750996800000,12.28,12.45,12.135,12.28,389283,12.2927,5052
1751256000000,12.34,12.34,11.99,12.02,203896,12.0963,3968
1751342400000,11.9,12.65,11.8,12.31,276416,12.3626,5584
1751428800000,12.36,12.83,12.34,12.76,189325,12.6959,4524
1751515200000,12.79,12.99,12.757,12.88,149109,12.8609,3501
1751860800000,12.75,12.94,12.62,12.77,257450,12.7487,5060
1751947200000,12.88,13.28,12.73,13.03,357766,13.0842,4578
1752033600000,13.18,13.28,12.96,13.28,276782,13.2119,5247
1752120000000,13.17,13.615,13.05,13.39,339857,13.48,4888
1752206400000,13.25,13.335,12.99,13.05,200366,13.0752,3434
1752465600000,13.03,13.1,12.78,12.98,281443,12.9399,4821
1752552000000,13.14,13.14,12.53,12.6,296345,12.6525,3432
1752638400000,12.65,12.715,12.26,12.47,210706,12.4592,3892
1752724800000,12.44,12.715,12.42,12.64,252353,12.5869,4234
1752811200000,12.71,12.71,12.217,12.31,235819,12.3397,4317
1753070400000,12.42,12.46,12.2,12.26,247971,12.2986,4379
1753156800000,12.25,12.7982,12.25,12.63,254614,12.6232,4229
1753243200000,12.87,13.39,12.755,13.22,235919,13.2078,4288
1753329600000,13.01,13.15,12.96,13.06,285751,13.0543,4085
1753416000000,13.25,13.25,12.99,13.22,149475,13.1529,3224
1753675200000,13.27,13.345,13.14,13.22,145223,13.2333,2909
1753761600000,13.47,13.47,12.485,12.85,239427,12.7476,4220
1753848000000,12.89,12.89,12.31,12.49,210107,12.5609,4302
1753934400000,12.34,12.83,12.34,12.75,161609,12.722,3429
1754020800000,12.36,12.478,11.96,12.05,348406,12.1084,6264
