timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,8.47,8.49,8.455,8.46,58801,8.4715,142
1735880400000,8.49,8.52,8.47,8.49,44752,8.493,181
1736139600000,8.48,8.56,8.46,8.49,91688,8.5032,282
1736226000000,8.54,8.61,8.48,8.52,119948,8.5126,353
1736312400000,8.53,8.58,8.51,8.52,80334,8.5484,373
1736485200000,8.46,8.515,8.41,8.41,141088,8.4714,638
1736744400000,8.46,8.4765,8.4,8.42,109622,8.4273,302
1736830800000,8.43,8.46,8.39,8.41,54721,8.4102,246
1736917200000,8.43,8.4799,8.41,8.42,88963,8.4284,323
1737003600000,8.4,8.46,8.36,8.45,94656,8.4195,388
1737090000000,8.5,8.52,8.46,8.48,47220,8.4806,212
1737435600000,8.49,8.5197,8.46,8.49,79180,8.4893,297
1737522000000,8.47,8.525,8.47,8.49,52506,8.497,260
1737608400000,8.5,8.5,8.43,8.47,73249,8.4607,264
1737694800000,8.48,8.5593,8.44,8.5,63380,8.5093,249
1737954000000,8.53,8.54,8.47,8.52,74234,8.507,212
1738040400000,8.52,8.53,8.49,8.52,48578,8.5133,209
1738126800000,8.53,8.655,8.53,8.61,137361,8.6048,669
1738213200000,8.62,8.6296,8.59,8.59,64996,8.6069,238
1738299600000,8.67,8.67,8.58,8.6,130051,8.6225,443
1738558800000,8.58,8.635,8.58,8.58,119988,8.6131,355
1738645200000,8.58,8.64,8.58,8.62,53391,8.605,223
1738731600000,8.66,8.6899,8.6201,8.67,118087,8.6687,422
1738818000000,8.66,8.68,8.62,8.63,95599,8.6463,211
1738904400000,8.63,8.67,8.6,8.62,109370,8.6369,290
1739163600000,8.66,8.67,8.63,8.64,30498,8.6461,108
1739250000000,8.64,8.64,8.6,8.61,36040,8.6181,116
1739336400000,8.57,8.5897,8.525,8.55,160119,8.5577,561
1739422800000,8.58,8.62,8.55,8.565,103248,8.5764,313
1739509200000,8.56,8.7,8.55,8.59,89884,8.5922,237
1739854800000,8.63,8.64,8.57,8.59,50695,8.59,260
1739941200000,8.59,8.62,8.5751,8.59,60649,8.5861,107
1740027600000,8.6,8.6,8.58,8.59,47353,8.5896,135
1740114000000,8.59,8.65,8.59,8.638,30291,8.6188,115
1740373200000,8.63,8.6388,8.55,8.57,84497,8.5825,301
1740459600000,8.62,8.62,8.59,8.6,174761,8.6006,626
1740546000000,8.59,8.62,8.59,8.618,109395,8.6002,310
1740632400000,8.6,8.64,8.57,8.57,126179,8.5841,515
1740718800000,8.61,8.64,8.61,8.64,40098,8.6292,224
1740978000000,8.65,8.7,8.65,8.7,132297,8.6805,491
1741064400000,8.74,8.74,8.59,8.63,112051,8.6454,473
1741150800000,8.66,8.67,8.64,8.66,78809,8.6511,252
1741237200000,8.64,8.6891,8.62,8.67,125514,8.6507,359
1741323600000,8.67,8.71,8.64,8.64,75889,8.6767,289
1741579200000,8.67,8.68,8.63,8.65,39820,8.6531,149
1741665600000,8.67,8.71,8.63,8.65,28217,8.6681,93
1741752000000,8.69,8.69,8.63,8.68,76737,8.6654,306
1741838400000,8.68,8.68,8.61,8.61,67014,8.6359,167
1741924800000,8.59,8.67,8.5829,8.64,87678,8.6383,278
1742184000000,8.66,8.68,8.62,8.63,65245,8.6456,379
1742270400000,8.67,8.67,8.52,8.62,76263,8.5873,247
1742356800000,8.69,8.69,8.56,8.58,157411,8.629,576
1742443200000,8.6,8.67,8.6,8.658,56711,8.6479,229
1742529600000,8.69,8.715,8.655,8.71,46064,8.6926,262
1742788800000,8.71,8.7499,8.68,8.73,80252,8.721,300
1742875200000,8.73,8.73,8.68,8.72,48077,8.7062,150
1742961600000,8.69,8.72,8.62,8.69,35028,8.673,179
1743048000000,8.67,8.68,8.6353,8.65,25110,8.6593,73
1743134400000,8.64,8.675,8.63,8.63,28761,8.6453,104
1743393600000,8.64,8.67,8.61,8.65,63604,8.6318,365
1743480000000,8.67,8.6899,8.61,8.65,104008,8.6454,403
1743566400000,8.65,8.67,8.59,8.65,58677,8.6366,266
1743652800000,8.7,8.76,8.68,8.73,85100,8.7312,595
1743739200000,8.73,8.73,8.5641,8.63,88525,8.6253,216
1743998400000,8.61,8.61,8.45,8.55,76043,8.544,298
1744084800000,8.52,8.55,8.36,8.38,131810,8.4329,883
1744171200000,8.33,8.55,8.24,8.49,136391,8.3966,495
1744257600000,8.34,8.53,8.34,8.4,63777,8.3956,155
1744344000000,8.48,8.48,8.295,8.37,113393,8.3624,393
1744603200000,8.63,8.63,8.43,8.43,68481,8.4983,268
1744689600000,8.45,8.565,8.35,8.39,102175,8.4149,566
1744776000000,8.34,8.394,8.3,8.3,115633,8.3334,665
1744862400000,8.31,8.37,8.295,8.34,139979,8.3283,646
1745208000000,8.34,8.36,8.22,8.24,86490,8.2778,356
1745294400000,8.25,8.3168,8.22,8.27,74496,8.2533,215
1745380800000,8.35,8.4,8.25,8.26,103174,8.3045,247
1745467200000,8.35,8.35,8.29,8.34,100769,8.3242,407
1745553600000,8.38,8.47,8.35,8.375,77377,8.3921,206
1745812800000,8.44,8.44,8.39,8.4,96222,8.4297,197
1745899200000,8.4,8.46,8.3973,8.41,87586,8.4178,373
1745985600000,8.39,8.47,8.39,8.42,96994,8.4244,380
1746072000000,8.51,8.54,8.43,8.54,110506,8.4817,519
1746158400000,8.53,8.53,8.46,8.475,75781,8.4783,333
1746417600000,8.49,8.49,8.42,8.48,78917,8.449,261
1746504000000,8.48,8.58,8.48,8.5,52802,8.5078,202
1746590400000,8.52,8.53,8.4769,8.51,51709,8.5041,229
