timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,6.33,6.59,6.31,6.46,9118,6.5613,144
1735880400000,6.3999,6.4,6.1387,6.4,4470,6.3221,44
1736139600000,6.5,6.558,6.2917,6.49,5842,6.4308,47
1736226000000,6.39,6.5,6.28,6.49,4800,6.4109,53
1736312400000,6.32,7,6.32,6.6,13564,6.6761,201
1736485200000,6.46,6.655,6.35,6.35,5547,6.46,63
1736830800000,6.31,6.565,6.29,6.31,1383,6.4218,58
1736917200000,6.36,6.45,6.36,6.45,276,6.5125,12
1737003600000,6.31,6.7513,6.31,6.7513,1867,6.4551,87
1737090000000,6.83,6.95,6.5844,6.6,2216,6.8935,80
1737522000000,6.45,6.45,6.45,6.45,1162,6.411,54
1737608400000,6.33,6.495,6.3001,6.44,4705,6.4059,65
1737694800000,6.21,6.85,6.16,6.16,13780,6.6193,287
1737954000000,6.25,6.73,6.18,6.18,10178,6.4576,157
1738040400000,6.33,6.51,6.3101,6.4,4874,6.3536,172
1738126800000,6.25,6.4,6.25,6.37,3148,6.4946,66
1738213200000,6.52,6.52,6.25,6.25,795,6.3322,58
1738299600000,6.15,6.36,6.15,6.36,2181,6.3149,125
1738558800000,6.18,6.35,6.17,6.17,2997,6.1786,127
1738645200000,6.47,6.65,6.16,6.31,3855,6.4034,150
1738731600000,6.39,6.68,6.39,6.48,5909,6.5032,150
1738818000000,6.2,6.2,6.2,6.2,1944,6.2313,101
1738904400000,6.23,6.3466,6.21,6.3466,1353,6.34,117
1739163600000,6.44,6.71,6.22,6.22,1375,6.671,76
1739250000000,6.3,6.4179,6.25,6.35,1992,6.3331,129
1739336400000,6.21,6.21,6.21,6.21,938,6.318,51
1739422800000,6.48,6.48,6.23,6.23,1413,6.3493,112
1739509200000,6.27,6.4,6.2253,6.4,762,6.3376,15
1739854800000,6.26,6.75,6.26,6.45,2035,6.5579,48
1739941200000,6.26,6.39,6.26,6.39,762,6.3701,78
1740027600000,6.4,6.5,6.31,6.35,3741,6.3744,59
1740114000000,6.35,6.35,6.2,6.2,985,6.123,91
1740373200000,6.2778,6.31,6.2,6.23,942,6.2619,55
1740459600000,6.32,6.32,6.32,6.32,483,6.3362,33
1740546000000,6.74,6.74,6.21,6.21,1009,6.5334,22
1740632400000,6.49,6.49,6.39,6.39,337,6.4156,19
1740718800000,6.44,6.5,6.4,6.5,3494,6.4587,115
1740978000000,6.5,6.5,6.2089,6.22,4065,6.3185,81
1741064400000,6.4,6.4,6.22,6.22,1972,6.3068,84
1741150800000,6.25,6.4,6.25,6.37,1312,6.3656,81
1741237200000,6.4,6.5,6.21,6.29,17650,6.4694,93
1741323600000,6.4,6.4,6.4,6.4,662,6.3733,50
1741579200000,6.5,6.5,6.26,6.26,4483,6.432,163
1741665600000,6.55,6.55,6.2,6.2,4642,6.2919,130
1741752000000,6.21,6.21,6.21,6.21,1217,6.2674,114
1741838400000,6.38,6.38,6.2,6.2,1426,6.2469,110
1741924800000,6.21,6.28,6.2,6.28,1271,6.2145,76
1742184000000,6.29,6.3,6.1,6.3,1292,6.1234,126
1742270400000,6.13,6.27,6,6.24,6721,6.1605,267
1742356800000,6.26,6.29,6.1,6.29,2104,6.1305,142
1742443200000,6.35,6.39,6,6.39,3015,6.3067,97
1742529600000,6.23,6.4,6.1,6.4,8480,6.3184,297
1742788800000,6,6.4,6,6.4,3421,6.2729,116
1742875200000,6,6.305,6,6.305,940,6.2481,31
1742961600000,6.3999,6.3999,6.2,6.2,1334,6.294,112
1743134400000,6.3336,6.3336,6.21,6.21,735,6.2947,48
1743393600000,6.16,6.398,5.91,6.02,2695,6.223,68
1743480000000,6.21,6.21,6.21,6.21,460,6.2333,32
1743566400000,6.05,6.18,6,6.18,1432,6.2164,100
1743652800000,6.21,6.21,6.21,6.21,641,6.1761,71
1743739200000,6.05,6.37,6.05,6.37,851,6.1675,74
1743998400000,6.31,6.31,6.31,6.31,494,6.2393,58
1744084800000,5.91,6.0504,5.91,6.05,1301,6.0598,24
1744171200000,5.95,6.2209,5.95,6.2209,961,6.0902,57
1744257600000,5.95,5.95,5.95,5.95,402,6.1377,54
1744344000000,5.95,5.95,5.95,5.95,235,5.9791,34
1744689600000,5.95,6.02,5.95,6.02,592,6.0309,55
1744776000000,5.98,5.99,5.98,5.99,868,6.0301,34
1744862400000,5.94,5.94,5.94,5.94,380,6.0052,23
1745208000000,6.25,6.79,5.95,5.95,7899,6.4623,172
1745294400000,6.1,6.41,6.02,6.19,7122,6.2026,171
1745380800000,6.17,6.17,5.96,5.96,4287,6.042,100
1745467200000,6.4,6.4,5.94,5.95,6570,6.0267,185
1745553600000,5.95,5.95,5.95,5.95,223,6.0063,25
1745899200000,6.0053,6.0053,5.9,5.9,653,5.9435,59
1745985600000,5.76,5.76,5.71,5.71,1146,5.767,56
1746417600000,5.77,5.77,5.55,5.55,841,5.6214,55
1746590400000,5.5,5.5,4.21,4.71,6885,4.9635,139
1746676800000,4.75,5.47,4.75,5.25,3920,5.0977,66
1746763200000,5.335,5.335,5.15,5.1975,5321,5.1662,50
1747022400000,5.0501,5.0501,5,5,2343,5.0714,146
1747108800000,5.3376,5.3376,5,5.02,4032,5.1162,91
1747195200000,5.135,5.4168,5.135,5.23,5406,5.3333,115
1747281600000,5.46,5.93,5.46,5.93,1292,5.6415,46
1747368000000,6.15,6.38,5.855,6.11,7309,6.2162,114
1747713600000,6.03,6.03,6.03,6.03,459,5.9674,32
1747800000000,5.8,5.8,5.77,5.77,613,5.8346,38
1748318400000,5.8174,6.0178,5.8174,6.0178,824,5.9413,22
1748404800000,5.83,6.09,5.5,5.55,4105,5.7251,79
1748491200000,5.4,5.4,5.033,5.033,95740,5.1202,373
1748577600000,5.1,5.1,5.1,5.1,156,5.1317,11
1748923200000,5.1154,5.3734,5.1154,5.3734,340,5.2128,23
1749009600000,5.37,5.4,5.2,5.2,936,5.2695,73
1749441600000,5.05,5.06,5.02,5.02,4594,5.098,94
1749528000000,5.15,5.45,5.05,5.11,2603,5.2632,110
1749614400000,5.05,5.35,5.05,5.1,620,5.1975,15
1749787200000,5.35,5.35,5.06,5.26,1052,5.1931,31
1750046400000,5.1,5.1,5.1,5.1,284,5.0983,20
1750132800000,5.34,5.34,5.15,5.15,439,5.2078,23
1750219200000,5.4,5.96,5.25,5.96,10224,5.6149,111
1750392000000,6.3,6.3,5.4,5.55,5665,5.8463,148
1750651200000,5.9,5.9,5.42,5.42,5983,5.6548,173
1750824000000,5.15,5.65,5.15,5.16,4147,5.4201,125
1750910400000,5.66,5.66,5.1899,5.34,9851,5.3492,256
1750996800000,5.0924,5.4,5.0924,5.3,6270,5.2748,84
1751256000000,5.32,5.5,5.165,5.5,7063,5.3593,100
1751342400000,5.1196,5.6,5.1196,5.47,1509,5.4429,49
1751428800000,6,6.84,5.78,5.85,51166,6.1382,203
1751515200000,6.25,6.5819,5.8,5.8,1861,6.1711,83
1751860800000,5.8,6.275,5.8,5.86,6649,6.0689,495
1751947200000,6.19,6.7,6.01,6.01,5872,6.1541,162
1752033600000,6.47,6.47,6.14,6.14,3417,6.1891,42
1752120000000,6.16,6.35,6.09,6.35,7590,6.1881,365
1752206400000,6.17,6.17,6.16,6.16,1149,6.2511,40
1752465600000,6.38,6.38,6.275,6.325,1062,6.3216,27
1752552000000,6.15,6.5,6.15,6.5,18111,6.4754,188
1752638400000,6.45,6.48,6.35,6.35,1857,6.4291,69
1752724800000,6.4976,6.5,6.37,6.37,3438,6.4247,79
