timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,3.62,3.645,3.52,3.54,924437,3.5604,5505
1735880400000,3.54,3.72,3.54,3.69,895329,3.6414,5841
1736139600000,3.71,3.84,3.71,3.74,751867,3.7536,5708
1736226000000,3.81,3.945,3.73,3.78,993028,3.7901,5937
1736312400000,3.76,3.77,3.65,3.71,790504,3.6974,5716
1736485200000,3.67,3.68,3.58,3.62,980287,3.6279,5956
1736744400000,3.6,3.73,3.575,3.7,552498,3.6789,6059
1736830800000,3.72,3.775,3.61,3.67,1313723.0,3.6485,7302
1736917200000,3.78,3.79,3.705,3.76,530525,3.7449,3588
1737003600000,3.73,3.795,3.72,3.72,724068,3.7466,5821
1737090000000,3.76,3.77,3.64,3.65,525962,3.6801,4262
1737435600000,3.64,3.93,3.635,3.92,843394,3.8479,6235
1737522000000,3.95,3.975,3.825,3.89,961164,3.8937,6318
1737608400000,3.88,4.01,3.86,3.99,597171,3.9596,4903
1737694800000,4,4.09,3.975,4.01,562349,4.0264,4706
1737954000000,4,4.14,3.9899,4.11,770093,4.0825,5783
1738040400000,4.12,4.12,3.895,3.91,1390888.0,3.9782,7411
1738126800000,3.89,3.95,3.82,3.9,706895,3.8915,5842
1738213200000,3.93,4.09,3.92,3.99,3251870.0,3.9634,7020
1738299600000,3.98,4.055,3.95,4.02,866953,3.9978,5805
1738558800000,3.95,4.005,3.9,3.91,723682,3.9271,5808
1738645200000,3.89,4.03,3.865,4.01,387534,3.966,4596
1738731600000,4.01,4.06,3.97,3.99,252924,3.9984,3192
1738818000000,3.98,3.985,3.88,3.91,686736,3.9209,5356
1738904400000,3.94,3.94,3.765,3.82,950263,3.821,7299
1739163600000,3.83,3.885,3.75,3.86,643491,3.8451,4696
1739250000000,3.82,3.855,3.79,3.82,681553,3.8223,7733
1739336400000,3.79,3.815,3.73,3.74,592232,3.761,5458
1739422800000,3.78,3.895,3.76,3.89,478982,3.8509,5437
1739509200000,3.92,3.95,3.855,3.93,356731,3.9025,4624
1739854800000,3.94,4.01,3.88,3.96,627980,3.9327,5742
1739941200000,3.94,3.955,3.895,3.94,504366,3.9326,4696
1740027600000,3.92,3.93,3.85,3.88,706914,3.8952,6161
1740114000000,3.94,3.94,3.795,3.8,1285007.0,3.831,6899
1740373200000,3.84,4.08,3.8,3.99,608204,3.9847,5620
1740459600000,3.99,4.01,3.89,4,776918,3.9565,6838
1740546000000,3.3,3.37,2.685,3.06,4870357.0,2.9429,20067
1740632400000,3.08,3.275,3.05,3.13,1549908.0,3.1366,11944
1740718800000,3.378,3.56,3.3601,3.48,1599373.0,3.4596,10204
1740978000000,3.58,3.705,3.55,3.57,1153892.0,3.6101,10034
1741064400000,3.54,3.595,3.35,3.37,1150696.0,3.4543,10653
1741150800000,3.37,3.4,3.18,3.25,668045,3.251,6224
1741237200000,3.21,3.32,3.2,3.31,573747,3.2724,6236
1741323600000,3.31,3.51,3.28,3.49,799396,3.4401,6057
1741579200000,3.45,3.54,3.31,3.36,1105069.0,3.3861,8849
1741665600000,3.4,3.445,3.345,3.38,936231,3.3907,9303
1741752000000,3.4,3.485,3.34,3.48,532501,3.4384,5725
1741838400000,3.53,3.53,3.36,3.41,560165,3.3973,5282
1741924800000,3.44,3.55,3.44,3.51,380024,3.502,4006
1742184000000,3.5,3.6365,3.42,3.57,499706,3.5846,5361
1742270400000,3.54,3.54,3.4,3.46,612044,3.4491,5027
1742356800000,3.45,3.52,3.45,3.51,411782,3.4936,4095
1742443200000,3.48,3.545,3.46,3.54,337686,3.5219,4561
1742529600000,3.47,3.47,3.4,3.44,968592,3.4423,5088
1742788800000,3.8,4.22,3.66,3.66,1502872.0,3.8409,11220
1742875200000,3.61,3.635,3.47,3.49,764116,3.5183,6373
1742961600000,3.5,3.5,3.34,3.39,835879,3.3934,5572
1743048000000,3.37,3.505,3.36,3.49,494891,3.4507,5327
1743134400000,3.47,3.56,3.385,3.43,428426,3.4215,3982
1743393600000,3.35,3.395,3.33,3.37,1695346.0,3.3633,6743
1743480000000,3.36,3.37,3.3,3.32,464023,3.3249,5343
1743566400000,3.27,3.38,3.27,3.37,327108,3.3537,4772
1743652800000,3.25,3.305,3.2,3.22,575198,3.2423,5767
1743739200000,3.11,3.17,3.05,3.11,793830,3.1057,7175
1743998400000,3.01,3.24,2.97,3.01,1002672.0,3.0496,9290
1744084800000,3.09,3.1,2.86,2.93,1172231.0,2.9432,7405
1744171200000,2.88,3.24,2.87,3.16,1075657.0,3.0544,8576
1744257600000,3.05,3.05,2.86,2.94,722780,2.9374,5519
1744344000000,2.94,2.96,2.885,2.93,388153,2.9295,3280
1744603200000,2.96,3.02,2.925,3,421015,2.9767,5704
1744689600000,2.99,3.03,2.93,2.93,355967,2.9569,3670
1744776000000,2.9,2.94,2.865,2.92,586592,2.908,5396
1744862400000,2.91,3.01,2.9,2.99,704592,2.9692,4339
1745208000000,3,3,2.85,2.87,449220,2.8874,3492
1745294400000,2.89,2.975,2.84,2.96,406471,2.9236,4007
1745380800000,3.04,3.095,2.99,3,457385,3.0304,4472
1745467200000,3.02,3.0382,2.98,3.03,250954,3.0215,3418
1745553600000,3.01,3.01,2.945,2.99,329134,2.9808,3094
1745812800000,3,3.09,2.975,3.04,366183,3.0202,4292
1745899200000,3.03,3.075,3.015,3.06,277818,3.0515,4181
1745985600000,3.01,3.02,2.97,2.99,352414,2.9914,3562
1746072000000,2.98,3.035,2.905,2.94,233406,2.957,2747
1746158400000,2.96,3.04,2.95,2.98,231554,2.9993,3251
1746417600000,2.94,2.945,2.83,2.85,432061,2.8641,4500
1746504000000,2.84,2.855,2.78,2.8,316474,2.8194,4016
1746590400000,2.81,2.815,2.76,2.79,543256,2.7824,5353
1746676800000,2.69,2.73,2.42,2.6,1063808.0,2.5805,9084
1746763200000,2.57,2.61,2.5,2.51,675346,2.5283,5376
1747022400000,2.55,2.76,2.545,2.67,721080,2.6941,6770
1747108800000,2.68,2.715,2.64,2.65,457166,2.6689,5325
1747195200000,2.7,2.7299,2.48,2.49,828569,2.5217,6576
1747281600000,2.47,2.48,2.36,2.46,787242,2.4457,7114
1747368000000,2.46,2.505,2.41,2.43,677497,2.4579,6233
1747627200000,2.42,2.66,2.4,2.63,1520737.0,2.5644,9867
1747713600000,2.63,2.82,2.62,2.8,848911,2.7674,8386
1747800000000,2.78,2.785,2.51,2.545,735107,2.5943,5440
1747886400000,2.55,2.635,2.495,2.565,632707,2.5804,5955
1747972800000,2.49,2.565,2.465,2.52,700344,2.5159,5294
1748318400000,2.57,2.79,2.54,2.77,1458292.0,2.7147,10224
1748404800000,2.76,2.82,2.7209,2.77,700360,2.782,6830
1748491200000,2.77,2.86,2.705,2.84,561494,2.8083,6253
1748577600000,2.83,3.005,2.795,2.88,1097939.0,2.9392,10677
1748836800000,2.85,2.9,2.795,2.85,930572,2.8549,8359
1748923200000,2.85,2.97,2.835,2.96,660715,2.9348,5414
1749009600000,2.96,3.015,2.9,2.9,572692,2.9584,5320
1749096000000,2.9,2.9,2.795,2.81,707493,2.8316,4413
1749182400000,2.88,2.955,2.85,2.89,968536,2.9101,8756
1749441600000,2.91,2.94,2.85,2.86,396594,2.8754,3481
1749528000000,2.88,3.02,2.8646,2.99,854612,2.9679,5774
1749614400000,3,3.06,2.89,2.92,511803,2.9432,4999
1749700800000,2.91,2.985,2.87,2.93,771220,2.9396,6411
1749787200000,2.87,3.005,2.84,2.95,840685,2.9479,6022
1750046400000,2.96,3.025,2.865,2.88,1166093.0,2.9216,8928
1750132800000,2.85,3,2.81,2.81,1237515.0,2.8765,7420
1750219200000,2.79,2.91,2.78,2.88,847919,2.8562,4833
1750392000000,2.92,3.02,2.88,3,848402,2.9686,4680
1750651200000,3,3.06,2.98,3.03,459988,3.0201,5178
1750737600000,3.07,3.0914,2.925,3,685116,3.004,6730
1750824000000,2.98,3.03,2.87,2.87,1601237.0,2.9206,9076
1750910400000,2.89,3.03,2.85,3.02,798102,2.9631,6317
1750996800000,3.02,3.08,2.98,3.01,914546,3.0158,5373
1751256000000,3.02,3.045,2.98,3,503166,3.0033,4868
1751342400000,2.96,3.105,2.92,3.01,701586,3.0275,7031
1751428800000,3.04,3.11,3,3.06,460812,3.067,3898
1751515200000,3.06,3.16,3.06,3.08,304101,3.1088,2805
1751860800000,3.09,3.14,3.05,3.05,559151,3.0654,5585
1751947200000,3.05,3.1,3.02,3.04,637914,3.046,7554
1752033600000,3.06,3.13,3.005,3.03,482308,3.0369,4317
1752120000000,3,3.12,3,3.05,723993,3.0565,5384
1752206400000,3.055,3.16,3.04,3.1,682051,3.0893,5919
