timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,10.49,12.84,10.04,12.19,2022092.0,11.1384,8329
1735880400000,11.84,12.5609,7.39,7.39,1041377.0,10.9126,5220
1736139600000,9.75,10.79,8.5,10.17,875739,9.8038,6658
1736226000000,9.86,11.18,9.18,11,749163,10.3157,4886
1736312400000,10.99,12.82,10.6,12.055,1514312.0,11.6252,5620
1736485200000,12.06,13.979,11.7,12.32,1796544.0,12.2264,7650
1736744400000,12.6,14.92,12.29,14.69,3215536.0,13.1293,14212
1736830800000,14.66,15.78,14,14.52,2287957.0,14.6128,12145
1736917200000,14.5,14.55,2.88,4.35,7875320.0,5.9592,45859
1737003600000,3.405,3.6,2.75,3.25,2384277.0,3.2224,13150
1737090000000,3,3.2028,2.75,2.98,1358988.0,2.9304,6586
1737435600000,2.75,2.79,2.15,2.43,1171780.0,2.4517,5796
1737522000000,2.28,3.75,2.24,3.2,4410516.0,3.142,20992
1737608400000,3.2,3.48,2.82,3.26,672848,3.1742,3124
1737694800000,3.28,3.28,3,3.03,319275,3.0977,1673
1737954000000,3,3.0199,2.41,2.56,314523,2.6508,1666
1738040400000,2.63,2.6591,2.27,2.6,228046,2.4507,1184
1738126800000,2.69,2.69,2.41,2.54,87020,2.5608,531
1738213200000,2.45,2.52,2.1899,2.41,261091,2.3373,1025
1738299600000,2.48,2.48,2.25,2.26,65717,2.3383,461
1738558800000,2.11,2.18,2,2.06,182857,2.0524,1242
1738645200000,2,2.11,2,2.03,138007,2.0499,640
1738731600000,2.05,2.08,1.45,1.7,346092,1.7857,1478
1738818000000,1.55,1.68,1.39,1.42,277209,1.5233,1169
1738904400000,1.38,1.45,1.22,1.32,224951,1.3017,1216
1739163600000,1.32,1.48,1.28,1.34,161587,1.395,1128
1739250000000,1.27,1.34,1.242569,1.29,83417,1.2885,555
1739336400000,1.22,1.3,1.22,1.3,88593,1.2713,423
1739422800000,1.26,1.4,1.24,1.29,111615,1.2942,489
1739509200000,1.27,1.35,1.26,1.28,38193,1.2906,271
1739854800000,1.28,1.3,1.24,1.3,74678,1.2698,461
1739941200000,1.3,1.389,1.25,1.365,74761,1.3142,324
1740027600000,1.31,1.42,1.31,1.34,65492,1.3531,419
1740114000000,1.35,1.3798,1.26,1.32,81611,1.3092,250
1740373200000,1.29,1.32,1.27,1.27,34174,1.2824,227
1740459600000,1.29,1.29,1.1601,1.22,71921,1.2031,419
1740546000000,1.17,1.28,1.17,1.24,24126,1.2328,215
1740632400000,1.21,1.255,1.18,1.19,39967,1.2054,242
1740718800000,1.19,1.23,1.13,1.16,76831,1.1729,269
1740978000000,1.15,1.2402,1.15,1.22,51866,1.2167,313
1741064400000,1.23,1.27,1.16,1.25,59970,1.2152,307
1741150800000,1.21,1.27,1.21,1.24,19912,1.2442,183
1741237200000,1.2274,1.27,1.22,1.22,29638,1.248,114
1741323600000,1.22,1.26,1.22,1.26,27804,1.2301,177
1741579200000,1.27,1.4413,1.11,1.31,92285,1.3001,508
1741665600000,1.31,1.57,1.25,1.35,109876,1.377,426
1741752000000,1.46,1.49,1.3573,1.45,28352,1.4233,186
1741838400000,1.41,1.5269,1.3008,1.36,53698,1.4437,191
1741924800000,1.32,1.4192,1.23,1.31,115030,1.2724,297
1742184000000,1.3,1.3,1.26,1.28,22922,1.2822,177
1742270400000,1.28,1.3,1.22,1.29,85022,1.2694,229
1742356800000,1.25,1.37,1.25,1.35,47457,1.3222,134
1742443200000,1.3499,1.68,1.328,1.39,262098,1.4661,752
1742529600000,1.38,1.38,1.25,1.3,200313,1.3102,318
1742788800000,1.26,1.48,1.26,1.375,241144,1.3916,459
1742875200000,1.42,1.53,1.35,1.45,197964,1.4339,549
1742961600000,1.44,1.6407,1.38,1.49,365868,1.4956,985
1743048000000,1.46,1.9,1.46,1.85,444472,1.7221,1813
1743134400000,1.72,1.95,1.31,1.37,563857,1.724,1424
1743393600000,1.28,1.51,1.25,1.31,220383,1.3549,545
1743480000000,1.3,1.5,1.3,1.45,141537,1.4418,395
1743566400000,1.43,1.5,1.3,1.31,148203,1.3715,367
1743652800000,1.31,1.5,1.27,1.2947,79706,1.3135,265
1743739200000,1.29,1.38,1.29,1.32,48912,1.3167,192
1743998400000,1.31,1.3699,1.25,1.33,119147,1.3187,371
1744084800000,1.31,1.37,1.31,1.31,48330,1.3469,213
1744171200000,1.3,1.39,1.3,1.3,202144,1.3272,311
1744257600000,1.28,1.3,1.15,1.19,569164,1.213,1212
1744344000000,1.21,1.21,1.1501,1.1599,68013,1.1942,242
1744603200000,1.15,1.3199,1.15,1.26,1296544.0,1.2276,1140
1744689600000,1.25,1.29,1.25,1.258,112548,1.2848,174
1744776000000,1.24,1.29,1.16,1.21,104209,1.2578,250
1744862400000,1.195,1.22,1.185,1.19,74671,1.2014,226
1745208000000,1.23,1.2799,1.16,1.2,95763,1.2288,398
1745294400000,1.2333,1.2392,1.15,1.17,52009,1.1771,228
1745380800000,1.14,1.24,1.14,1.23,86918,1.185,320
1745467200000,1.23,1.2799,1.17,1.25,14980,1.2124,91
1745553600000,1.19,1.28,1.19,1.245,6981,1.236,51
1745812800000,1.28,1.55,1.245,1.36,2644571.0,1.6209,13359
1745899200000,1.21,1.25,1.1,1.13,472027,1.1774,1213
1745985600000,1.1,1.25,1.09,1.19,170972,1.1525,623
1746072000000,1.15,1.235,1.12,1.2,54928,1.2079,322
1746158400000,1.16,1.21,1.1463,1.16,90369,1.1668,546
